word,pos_symbol,pos_word,meaning
a,RP,particle,"oh, well, hesitating filler."
-a,VB,verbal affix,affix.
abakáda,NN,noun,alphabet.
abága,NN,noun,shoulder.
abalóryo,NN,noun,"rosary beads, strung beads, necklace."
ábay,NN,noun,"of weddings, witness."
abáw,UH,interjection,"oh, wow, really."
aberíya,VB,verb,"to have engine trouble, to stop."
abí’,RP,particle,"let me see, would you please, hey, excuse please."
ábi’ábi,VB,verb,"to greet, to shake hands with."
ábi’ábi,JJ,adjective,"kind, friendly, civil."
abogádo,NN,noun,"lawyer, attorney-at-law."
abóso,NN,noun,abuse.
abóso,VB,verb,"to abuse, to take advantage of."
ábri,VB,verb,"to unlock, to unfasten, to open."
abríl,NN,noun,april.
ábtik,JJ,adjective,"active, brisk, lively."
abú,NN,noun,ash.
abúnu,NN,noun,fertilizer.
abúnu,VB,verb,to fertilize.
abút,VB,verb,"to arrive, to reach, to come to."
abút,JJ,adjective,"cranky, irritable, moody."
alabútun,NN,noun formative,ang tigúlang.
ábyan,NN,noun,"friend, buddy."
ákig,NN,noun,"anger, hatred."
ákig,VB,verb,"to be angry, to scold."
akú,PRP,pronoun,"i, me (first person singular nominal pronoun)."
áku’,VB,verb,"to own, to claim, to promise, to swear, to admit."
ákun,PRP,pronoun,"my, mine (first person singular pre-possessive pronoun)."
ádlaw,NN,noun,"day, birthday, anniversary."
ádlaw’ádlaw,RB,adverb,"daily, everyday."
-ado,JJ,adjective formative,formative affix designating conditions or state of being.
ága,NN,noun,morning.
agálun,NN,noun,"master, boss."
ágaw,VB,verb,"to grab, to seize, to take by force, to usurp."
ágay,VB,verb,"to flow slowly, to drip in small drops."
ágbay,VB,verb,to put one’s arm on or about the shoulder of another person.
ágda,VB,verb,"to ask, to invite."
ági,NN,noun,"handwriting;  way, means."
ági,VB,verb,"to pass by for something, to pass through."
agí’,NN,noun,hermaphrodite.
agí’,JJ,adjective,"effeminate, sissy."
agósto,NN,noun,august.
agrimensór,NN,noun,surveyor.
ágsa,VB,verb,to work another’s field for part of the produce.
ágsa,NN,noun,tenant.
ágsik,VB,verb,"to fly off, to scatter, to spray."
ágtang,NN,noun,forehead.
agúd,CC,conjunction,so that.
águm,VB,verb,"to obtain, to attain, to achieve, to possess."
águm,NN,noun,"possessions, things."
ágwa,NN,noun,"perfume, cologne."
agwánta,VB,verb,"to bear, to tolerate, to suffer."
ahá’,VB,verb,"to insist, to ask fervently."
ahénsya,NN,noun,pawnshop.
ahénte,NN,noun,agent.
áhos,NN,noun,garlic.
alabá’ab,JJ,adjective,"of liquid, lukewarm."
álak,NN,noun,"hard drink, liquor."
alágad,NN,noun,adopted person.
alágad,VB,verb,"to adopt, to take care of someone."
aláhas,NN,noun,jewelry.
álam,NN,noun,"wisdom, knowledge."
álam,JJ,adjective,"bright, smart, brilliant."
álam,VB,verb,"to become smart, to become brilliant."
alámbre,NN,noun,wire.
alangá’ang,NN,noun,slight fever.
alangá’ang,JJ,adjective,"feverish, having a slight temperature."
álang’álang,JJ,adjective,"doubtful, immature."
álang’álang,VB,verb,to hesitate.
alangáy,JJ,adjective,"equal, the same."
alás,RP,particle,time particle used with time-telling from dos until dose.
álat,NN,noun,saltiness.
álat,JJ,adjective,salty.
alát,NN,noun,native basket made of woven bamboo strips.
álay,VB,verb,to be still through constant tension of the muscles.
aláy’ay,VB,verb,"to cradle, to support, to hold arms under some person or thing so as to support."
alkálde,NN,noun,mayor.
alkánse,NN,noun,loss in terms of money.
alkánse,VB,verb,"to lose some amount due to mismanagement in selling, to fail to gain."
alkánse,NN,noun formative,’alkánse akú sa pagbalígya’.
alkansíya,NN,noun,"coin bank, empty coconut shell used as a coin bank."
alkítran,NN,noun,"tar, asphalt."
alibángbang,NN,noun,butterfly.
aligútgut,NN,noun,"rage, wrath."
alimángu,NN,noun,crab.
alipúlus,NN,noun,"cyclone, eddy."
alíntun,VB,verb,"to transfer, to hand down."
alísto,JJ,adjective,"alert, ready, prompt."
almasín,NN,noun,"store, small market."
almidól,NN,noun,starch.
almiránte,NN,noun,"of the navy, admiral."
alpabéto,NN,noun,alphabet.
alpómbra,NN,noun,"carpet, rug."
álsa,VB,verb,"to raise, to lift, to elevate slightly."
alúm,NN,noun,mole.
alúng’ung,NN,noun,"opinion, idea, thought, knowledge."
áman,VB,verb,to prepare.
amargóso,NN,noun,bitter melon.
amát’amát,RB,adverb,"gradually, little by little."
amát’amát,VB,verb,"to start slowly, to gain speed, to leave one by one."
amáy,NN,noun,father.
ámba,NN,noun,"prayer, chant, song."
ámba,VB,verb,"to sing, to pray, to adore."
ámbit,VB,verb,"to participate, to share in."
ámbung,NN,noun,"radiance, beauty."
ámbung,JJ,adjective,"radiant, effulgent, beautiful."
amérika,NN,noun,america.
amerikána,NN,noun,"formal coat for men, female american citizen."
amerikáno,NN,noun,american citizen.
amidúl,NN,noun,variant of almidúl.
amígo,NN,noun,"friend, buddy."
amimíluk,NN,noun,eyelash.
amínhan,NN,noun,north.
ámlig,VB,verb,"to handle with care, to be, careful."
ámpu’,NN,noun,"prayer, pleading."
ámpu’,VB,verb,"to pray, to beseech, to beg, to plead."
ámu,NN,noun,"boss, employer, master."
amú,PRP,pronoun,"it, that."
amú,RB,adverb,similarly.
amú’,NN,noun,monkey.
amúma,VB,verb,"to be hospitable, to entertain."
ámun,PRP,pronoun,"our, ours (first person exclusive plural pre-possessive pronoun)."
ámut,NN,noun,"subscription, donation, contribution."
ámut,VB,verb,"to contribute, to help by giving something."
ámyun,JJ,adjective,fragrant.
1-an,VB,verbal affix,"infinitive, benefactive-locative focus affix."
2-an,VB,verbal affix,designating reciprocity of action.
3-an,NN,noun formative,noun formative affix designating a container or a place where an action occurs.
anák,NN,noun,child.
anák,VB,verb,"to bear a child, to give birth, to be godparent to a child during baptism or confirmation."
1-anan,NN,noun formative,noun formative affix denoting reciprocal action.
2-anan,VB,verbal affix,designating reciprocity of action.
anád,JJ,adjective,"usual, sophisticated, accustomed to."
anád,VB,verb,"to be accustomed to, to make familiar through experience."
ánay,RP,particle,"please, wait a minute."
ánay,NN,noun,termite.
-ánay,NN,noun formative,variant of -ánan.
ánaw,NN,noun,"deluge, great flood."
ándam,VB,verb,"to be cautious, to be careful, to beware, to be prepared."
andámyu,NN,noun,gangplank.
ándar,VB,verb,"to function, to work."
anhíng,JJ,adjective,"late, departed, living comparatively recently."
áni,NN,noun,"harvest, produce."
áni,VB,verb,"to harvest, to reap."
aningál,VB,verb,to have the delusion of hearing a familiar sound.
ántes,RB,adverb,"earlier, before, in advance, previously."
antígu,VB,verb,"to know, to be knowledgeable."
ánting’ánting,NN,noun,"amulet, talisman."
antipatikú,JJ,adjective,"unsympathetic, settled aversion."
ántud,JJ,adjective,"fetid, of odor, burnt."
ántus,VB,verb,"to bear, to suffer, to endure."
antyúhus,NN,noun,"spectacles, eyeglasses."
anu,PRP,pronoun,what.
anu,VB,verb,"to become, to do with."
ánud,VB,verb,"to drift, to flow with the current."
ánum,CD,numeral,six.
1-ánun,JJ,adjective formative,formative affix attached to nouns to designate abundance in possession.
2-anun,NN,noun formative,noun formative affix designating state of being.
anúnsyo,NN,noun,"announcement, broadcast."
anúnsyo,VB,verb,"to announce, to broadcast, to make public."
ányag,JJ,adjective,"beautiful, pretty."
ányo,NN,noun,year.
áng,RP,particle,definite noun marker.
ángay,JJ,adjective,"appropriate, becoming."
ángay,VB,verb,"to be well matched, to be equal, to look becoming, to fit."
ángkab,VB,verb,"of animals, to snap, to bite, to seize with teeth so as to grip or bite."
ángkla,NN,noun,anchor.
ángkun,VB,verb,"to acquire, to attain, to possess."
ángga’,NN,noun,"nickname, pet name."
ángga’,VB,verb,"to fondle, to caress, to pet, to care for very much."
ánggid,JJ,adjective,"alike, similar."
ánggid,VB,verb,"to be alike, to compare."
angút,VB,verb,"to join together, to tie together, to fasten together."
ápa,NN,noun,cone.
apá’,NN,noun,"mute, dumb."
ápang,CC,conjunction,"but, however."
aparadór,NN,noun,"closet, cabinet."
ápas,VB,verb,"to follow, to go after."
ápat,CD,numeral,four;  forty; /ika-/ fourth; /napulug-/ fourteen.
ápdu,NN,noun,gall bladder.
apelyédo,NN,noun,"surname, last name."
ápin,VB,verb,"to support, to side with, to be an ally to, to defend."
apínas,JJ,adjective,scarce.
aplá’ag,VB,verb,"to spread, to break and scatter."
apú,NN,noun,grandchild.
ápuk,VB,verb,"to throw, to be blown aside."
ápug,NN,noun,lime.
apurá,VB,verb,"to make haste, to hasten."
ára’,DT,deictic,there (short form to mean far from the speaker).
arádu,NN,noun,plow.
arádu,VB,verb,"to plow, to use a plow to break up or turn the soil."
árko,NN,noun,arch.
aresgádo,JJ,adjective,"adventurous, daring, foolhardy."
ári,DT,deictic,here (short form to mean near the speaker).
arí’arí,JJ,adjective,stunted in growth.
aritmétika,NN,noun,arithmetic.
arítus,NN,noun,earring.
ármas,NN,noun,"weapon, arms."
árte,NN,noun,"art, design, decoration;  actor, actress."
árte,JJ,adjective,"creative, artistic, vain."
artíkulo,NN,noun,article.
arúy,UH,interjection,ouch.
-aryo,NN,noun formative,noun formative affix designating state of being.
ásab,JJ,adjective,"voracious, gluttonous, ravenous."
asál,VB,verb,to roast particularly on a pit.
ásang,NN,noun,fish gill.
asáwa,NN,noun,wife.
asáwa,VB,verb,"to take a wife, to marry."
aséro,NN,noun,steel.
asílo,NN,noun,"sanctuary, institution of relief or care for the destitute or afflicted."
asikáso,VB,verb,"to take care of, to attend to."
asín,NN,noun,salt.
asín,JJ,adjective,salty.
áslum,NN,noun,sourness.
áslum,JJ,adjective,sour.
asú,NN,noun,smoke.
asú,VB,verb,to smoke.
asúkar,NN,noun,refined sugar.
asúgi,NN,noun,"mercury, quicksilver."
asúl,JJ,adjective,blue.
asúntu,NN,noun,"lawsuit, a case before a court."
áswang,NN,noun,"witch, sorceress."
asyendéro,NN,noun,"big landowner, sugar magnate."
atataró,NN,noun,caterpillar.
atáke,VB,verb,"to attack, to assault, to fall upon."
atáy,NN,noun,liver.
atendér,VB,verb,"to attend to, to look after."
aténsyon,NN,noun,attention.
áthag,JJ,adjective,"clear, distinct."
atí,NN,noun,"to rob, to plunder, to steal, to sack."
atipán,VB,verb,"to take care of, to attend to."
atipuyúng,VB,verb,"to be dizzy, to feel faint."
átras,VB,verb,"to go behind, to move back."
atráso,JJ,adjective,"late, delayed."
atsára,NN,noun,pickled green papaya.
atú,DT,deictic,"that (short form to mean yonder, far from both the speaker and the listener)."
atúbang,VB,verb,"to face, to confront, to stand before."
atúbang,RB,adverb,in front of.
átun,PRP,pronoun,"our, ours (first person inclusive pre-possessive pronoun)."
atúp,NN,noun,roof.
atutúli,NN,noun,earwax.
áwa’,NN,noun,"mercy, compassion, pity."
áwa’,VB,verb,to have compassion for.
áwas,VB,verb,to overflow.
awát,VB,verb,"to annoy, to waste another person’s time, to delay."
áway,NN,noun,"combat, fight, assault.;  opponent."
áway,VB,verb,"to fight, to go to war."
áwto,NN,noun,"car, automobile."
áy,UH,interjection,"oh, ouch, oh no."
-ay,VB,verbal affix,variant of -an.
ayág,VB,verb,"to sift, to screen, to strain."
ayám,VB,verb,to hunt.
ayáp,VB,verb,"to adopt, to be willing to accept something new, to take up and practice as one’s own."
ayáw,VB,verb,"to have more than enough, to be satiated, to be abundantly fed."
ayáw,NN,noun formative,’ayáwan si pédro sang pagká’un.
áyhan,CC,conjunction,"perhaps, therefore."
áyu,VB,verb,"to become well, to fix something to make it work, to become good."
áyu,JJ,adjective,"fine, good, well."
áyu’,NN,noun,"bargain, discount."
áyu’,VB,verb,"to bargain, to ask for a discount."
bá’bá,NN,noun,mouth.
babáyi,NN,noun,"female, woman."
bábuy,NN,noun,"pig, pork."
báka,NN,noun,"cow, beef."
baká’,JJ,adjective,"bow-legged, walking as if under a strain."
baká’,VB,verb,to walk under weight.
bakág,VB,verb,"to get annoyed, to lose one’s patience."
bakál,VB,verb,"to buy, to purchase."
bakasyón,NN,noun,"vacation, leisure trip."
bakasyón,VB,verb,"to take a vacation, to go on a trip."
bákbak,VB,verb,to strip off.
bákhaw,NN,noun,mangrove.
bákhu’,VB,verb,"to sigh, to moan, to lament."
báknal,JJ,adjective,"burdensome, onerous, bulky."
báknit,VB,verb,"to nudge, to pinch, to pluck."
bákud,JJ,adjective,"strong, stiff."
bákud,VB,verb,"to become strong, to stiffen."
bákul,VB,verb,to beat or baffle with blows using a piece of wood or a piece of metal.
bakúlud,NN,noun,"slope, hill."
bakúna,NN,noun,vaccination.
bakúna,VB,verb,to vaccinate.
bádlu’,NN,noun,phlegm.
bádlung,VB,verb,"to point out a fault or mistake, to correct by telling a person."
bága,NN,noun,"ember, live coal."
bagáhe,NN,noun,"luggage, piece of baggage, cargo."
bagáng,VB,verb,"to heat, to make red hot."
baganíhan,NN,noun,hero.
bagásu,NN,noun,bagasse.
bagátnan,NN,noun,south.
bágay,NN,noun,"thing, idea, notion, effects."
bágid,VB,verb,"to rub together, to strike together."
bágid,JJ,adjective,"of fruits, unripe, nearly ripe."
bágrung,NN,noun,"roaring sound, thunderous sound."
bágrung,VB,verb,"to roar, to thunder, to make a deafening sound."
bágrut,VB,verb,to gnash or grind one’s teeth.
bágsak,NN,noun,bedbug.
bágting,VB,verb,"to ring a bell, to toll."
bágtung,VB,verb,to wrap in a bundle especially with a woven cloth.
bágu,RB,adverb,before.
bág’u,JJ,adjective,"new, recent, unfamiliar, novel."
bág’u,VB,verb,"to make new, to change, to renew."
bagúl,NN,noun,hard shell of the coconut.
bágyu,NN,noun,"rainstorm, typhoon, hurricane."
bágyu,VB,verb,"to be stormy, to be forceful."
bahá’,NN,noun,flood.
bahá’,VB,verb,to cover with a flood.
bahála’,VB,verb,to be responsible for.
báhin,NN,noun,"part, chapter, share."
báhin,VB,verb,"to divide, to deal with‚ to make small parts of."
báhit,VB,verb,to take something out from the fire.
báhu,NN,noun,"of music, bass."
báhu’,NN,noun,"smell, odor, stink."
báhu’,JJ,adjective,"odorous, pungent, acrid smelling, stinking."
bahúg,NN,noun,food for pigs.
bahúg,VB,verb,"of animals, to feed swine, or any animal; of people, to eat mixed foods simultaneously."
bahúl,JJ,adjective,"coarse, loose or rough texture."
bahún,NN,noun,sneeze.
