word,pos_symbol,pos_word,meaning
manol,JJ,adjective,ignorant
manol,NN,noun,ignoramus
garuk,NN,noun,filth
garuk,VB,verb,corrupt
lanog,NN,noun,"weal ; bruise , black eye"
lanog,JJ,adjective,bruised
bugalon,VB,verb,to be or become proud
hangga,NN,noun,smallpox
damgohon,VB,verb,to dream
dugos,NN,noun,honey
dulot,NN,noun,dedication ; gift ; present
ilaga,NN,noun,mouse synonym: balabaw
daug,VB,verb,"defeat , succeed , triumph , win"
mainit,JJ,adjective,hot antonym: malamig
ahensya,NN,noun,agency
ahensya,NN,noun,pawnshop
pulut,JJ,adjective,( of rope ) firmly twisted
pulut,JJ,adjective,( of liquid ) thick
pulut,VB,verb,to thicken
pulut,VB,verb,to pick up from the floor or ground
paagaw,VB,verb,causative of ágao
baroto,NN,noun,dugout ; canoe
gal-um,NN,noun,raincloud
gal-um,NN,noun,"mist or fog , haze"
pader,NN,noun,stone or concrete wall or fence
ayam-ayam,NN,noun,ant
pelikula,NN,noun,pellicle ; film
pelikula,NN,noun,film ; movie ; motion picture
dagway nga makahuhuya,JJ,adjective,shabby
buho-buho,NN,noun,"diminutive of búhò : a small hole , perforation , or pore"
utang,NN,noun,debt
utang,NN,noun,credit
utang,VB,verb,to have a debt ; to owe
utang,VB,verb,to borrow in credit
luy-a,NN,noun,ginger ( zingiber officinale )
luy-a,NN,noun,rhizome of this plant
malipayon,JJ,adjective,happy
marabo,JJ,adjective,"tasty , savoury antonym: maganás"
abo-abohon,JJ,adjective,"ashen , ash -colored, grey , pale"
lala-lala,VB,verb,diminutive of lála
almon,NN,noun,tree
bangkay,NN,noun,"cadaver ; corpse synonyms: lawas , patay"
sambag,NN,noun,tamarind ( tamarindus indica )
aritos,NN,noun,earring
baw-as,JJ,adjective,"( usually said of women ) barren , childless"
pililion,NN,noun,"nominee , one who is worthy or desirable to be chosen"
sakayanon,NN,noun,"mariner , sailor , seaman"
dal-ok,NN,noun,"blister , pustule"
uyang,NN,noun,grandmother
ebanhelyo,NN,noun,archaic form of ebanghelyo
