word,pos_symbol,pos_word,meaning,sentiment score,sentiment
-ista,NN,noun formative,noun formative affix denoting profession or type of job.,0,Neutral
-lu-,VB,verbal affix,variant of -la-.,0,Neutral
1-in-…-an,NN,noun formative,noun formative affix.,0,Neutral
1-ka-…-an,NN,noun formative,noun formative affix.,0,Neutral
1-ma-,VB,verbal affix,proposed action affix of the  verb.,0,Neutral
1-pag-,VB,verbal affix,actor focus affix.,0,Neutral
abak-abak,VB,verb,frequentative of ábak,0,Neutral
abat-abat,VB,verb,diminutive of ábat,0,Neutral
abilidad,NN,noun,dexterity,0,Neutral
abrasita,VB,verb,hug,0.477,Positive
abrigo,NN,noun,shawl,0,Neutral
abud,NN,noun,hem,0,Neutral
abwa,VB,verb,make,0,Neutral
adelantado,JJ,adjective,"advanced , modern",0.25,Positive
administrasyon,NN,noun,"administration , management",0,Neutral
adtang,NN,noun,the forehead,0,Neutral
agdayan,JJ,adjective,lazy,-0.361,Negative
agila,NN,noun,eagle,0,Neutral
ahos,NN,noun,garlic ( allium sativum ),0,Neutral
aihado,NN,noun,godson,0,Neutral
álam,JJ,adjective,"bright, smart, brilliant.",0.856,Positive
alamilaw,VB,verb,to doze,0,Neutral
alang-alang,JJ,adjective,"immature , inappropriate , inconvenient , unsuitable",-0.34,Negative
almohada,NN,noun,"cushion , pillow",0,Neutral
alom,JJ,adjective,"dark , dim",0,Neutral
alpómbra,NN,noun,"carpet, rug.",0,Neutral
alunga-og,JJ,adjective,"( of water ) flat , insipid , stagnant , stale , vapid",-0.459,Negative
ánaw,NN,noun,"deluge, great flood.",0.625,Positive
anay,NN,noun,termite,0,Neutral
andam,JJ,adjective,"careful , cautious , wary synonyms: tagam , paiway",0.052,Positive
ándam,VB,verb,"to be cautious, to be careful, to beware, to be prepared.",0.273,Positive
ándar,VB,verb,"to function, to work.",0,Neutral
áng,RP,particle,definite noun marker.,0.273,Positive
áni,NN,noun,"harvest, produce.",0,Neutral
antipatiko,JJ,adjective,"repugnant , repulsive",0,Neutral
aplá’ag,VB,verb,"to spread, to break and scatter.",0,Neutral
apo,NN,noun,grandchild,0,Neutral
apo,NN,noun,grandfather,0,Neutral
asílo,NN,noun,"sanctuary, institution of relief or care for the destitute or afflicted.",0.586,Positive
aslum,NN,noun,acidity,0,Neutral
áslum,JJ,adjective,sour.,0,Neutral
aso,NN,noun,smoke,0,Neutral
aspalto,VB,verb,to asphalt,0,Neutral
atipalo,NN,noun,earwig,0,Neutral
atop,NN,noun,roof synonym: bubongan,0,Neutral
atsára,NN,noun,pickled green papaya.,0,Neutral
atubang,VB,verb,to confront ; to face,-0.178,Negative
baak,JJ,adjective,"crushed , broken",-0.71,Negative
babayi,NN,noun,alternative form of babaye,0,Neutral
babáyi,NN,noun,"female, woman.",0,Neutral
bábuy,NN,noun,"pig, pork.",0,Neutral
bágid,VB,verb,"to rub together, to strike together.",-0.128,Negative
bagnas,JJ,adjective,unripe,0,Neutral
bagtis,NN,noun,mudfish,0,Neutral
bahaw,JJ,adjective,( of food ) cold,0,Neutral
bahoy,VB,verb,to enchant or cast a spell upon someone,0,Neutral
bahúl,JJ,adjective,"coarse, loose or rough texture.",-0.318,Negative
bakasyón,NN,noun,"vacation, leisure trip.",0,Neutral
balaanon,JJ,adjective,"happy , beatific",0.758,Positive
balahibo,NN,noun,feathers synonym: balukag,0,Neutral
balasubas,JJ,adjective,"( money ) broke , short of cash",-0.421,Negative
baldado,JJ,adjective,"crippled , handicapped , maimed",0,Neutral
báldi,NN,noun,"bucket, pail.",0,Neutral
bálhin,VB,verb,"to change, to exchange.",0,Neutral
balíbad,VB,verb,"to find an excuse, to give a reason, to refuse.",-0.226,Negative
