word,POS symbol,POS word,placement,affix,meaning,Example,English Sample,Page
a,pt,particle,,,"oh, well, hesitating filler.",,,28
-a,va,verbal affix,imperative,/-un/,affix.,Kuhá’a ang líbro sa lamésa.,Get the book from the table.,28
abakáda,n,noun,,,alphabet.,,,28
abága,n,noun,,,shoulder.,,,28
abalóryo,n,noun,,,"rosary beads, strung beads, necklace.",,,28
ábay,n,noun,,,"of weddings, witness.",,,28
abáw,intj,interjection,,,"oh, wow, really.",,,28
aberíya,v,verb,,/mag-/,"to have engine trouble, to stop.",Nag’aberíya ang kótse.,The car had engine trouble.,28
abí’,pt,particle,,,"let me see, would you please, hey, excuse please.",Abí’ husáya ánay iní.,Would you please solve this first.,28
ábi’ábi,v,verb,,"/mag-,-un/","to greet, to shake hands with.",Gin’ábi’ábi sya sang mangá táwu.,He was greeted by the people.,28
,adj,adjective,,/ma-…-un/,"kind, friendly, civil.",Ma’abí’abíhun si Cármen.,Carmen is kind.,28
abogádo,n,noun,,,"lawyer, attorney-at-law.",,,28
abóso,n,noun,,,abuse.,,,28
,v,verb,,"/mag-, -un/","to abuse, to take advantage of.",Nag’abóso ang báta’ sang íya manga pribilihiyó.,The child abused his privileges. 1,28
ábri,v,verb,,"/mag-,-un/","to unlock, to unfasten, to open.",Nag’ábri si Pédro sang bintána.,Pedro opened a window.,29
Abríl,n,noun,,,April.,,,29
ábtik,adj,adjective,,/ma-/,"active, brisk, lively.",,,29
abú,n,noun,,,ash.,,,29
abúnu,n,noun,,,fertilizer.,,,29
,v,verb,,"/mag-,-un/",to fertilize.,,,29
abút,v,verb,,"/mag-,-un/","to arrive, to reach, to come to.",Nag’abút sya kahápun.,He arrived yesterday.,29
,adj,adjective,,/…-la-…-un/,"cranky, irritable, moody.",,,29
Alabútun,na,noun formative,,,ang tigúlang.,,The old man is already cranky.,29
ábyan,n,noun,,,"friend, buddy.",,,29
ákig,n,noun,,,"anger, hatred.",,,29
,v,verb,,/-an/,"to be angry, to scold.",Gin’akígan sya sang ma’éstra.,The teacher scolded her.,29
akú,pr,pronoun,,,"I, me (first person singular nominal pronoun).",,,29
áku’,v,verb,,"/mag-,-un/","to own, to claim, to promise, to swear, to admit.",Gin áku’nya ang salá’.,He admitted the guilt.,29
ákun,pr,pronoun,,,"my, mine (first person singular pre-possessive pronoun).",,,29
ádlaw,n,noun,,,"day, birthday, anniversary.",,,29
ádlaw’ádlaw,adv,adverb,,,"daily, everyday.",,2,29
-ado,aa,adjective formative,adjective,,formative affix designating conditions or state of being.,Baldádo ang ákun láwas.,My body is all tired out.,30
ága,n,noun,,,morning.,,,30
agálun,n,noun,,,"master, boss.",,,30
ágaw,v,verb,,"/mag-,-un/","to grab, to seize, to take by force, to usurp.",Gin’ágaw sang báta’ ang lápis.,The child grabbed the pencil.,30
ágay,v,verb,,/mag-/,"to flow slowly, to drip in small drops.",,,30
ágbay,v,verb,,"/mag-,-an/",to put one’s arm on or about the shoulder of another person.,Nag ágbay sya kay Cárlos. He put his arms around Carlos’ shoulder.,,30
ágda,v,verb,,"/mag-,-un/","to ask, to invite.",Gin’ágda sya pára sa pyésta.,He was invited to the fiesta.,30
ági,n,noun,,/pa-/,"handwriting;  way, means.",,,30
,v,verb,,/mag-/,"to pass by for something, to pass through.",,,30
agí’,n,noun,,,hermaphrodite.,,,30
,adj,adjective,,,"effeminate, sissy.",,,30
Agósto,n,noun,,,August.,,,30
agrimensór,n,noun,,,surveyor.,,,30
ágsa,v,verb,,/mag-/,to work another’s field for part of the produce.,,,30
,n,noun,,/-dor/,tenant.,,,30
ágsik,v,verb,,"/mag-,-an/","to fly off, to scatter, to spray.",Nag’ágsik ang túbig.,The water sprayed. 3,30
ágtang,n,noun,,,forehead.,,,31
agúd,con,conjunction,,,so that.,,,31
águm,v,verb,,"/mag-,-un/","to obtain, to attain, to achieve, to possess.",Gin’águm nya ang katibawásan sa pangabúhi’.,He attained success in life.,31
,n,noun,,/kina-…-an/,"possessions, things.",,,31
ágwa,n,noun,,,"perfume, cologne.",,,31
agwánta,v,verb,,"/mag-,-un/","to bear, to tolerate, to suffer.",Nag’ agwánta sya sang madámu’ nga kasákit.,He suffered through a lot of heartaches.,31
ahá’,v,verb,,"/mag-,-un/","to insist, to ask fervently.",Nag’ahá’ sya nga ma’upúd sa síni.,He insisted that he go to the movies [with them).,31
ahénsya,n,noun,,,pawnshop.,,,31
ahénte,n,noun,,,agent.,,,31
áhos,n,noun,,,garlic.,,,31
alabá’ab,adj,adjective,,,"of liquid, lukewarm.",,,31
álak,n,noun,,,"hard drink, liquor.",,,31
alágad,n,noun,,,adopted person.,,,31
,v,verb,,"/mag-,-an/","to adopt, to take care of someone.",Nag’alágad sya sang báta’ nga laláki.,She adopted a baby boy.,31
aláhas,n,noun,,,jewelry.,,,31
álam,n,noun,,/ka-/,"wisdom, knowledge.",,,31
,adj,adjective,,/ma-/,"bright, smart, brilliant.",,4,31
,v,verb,,/mag-/,"to become smart, to become brilliant.",,,32
alámbre,n,noun,,,wire.,,,32
alangá’ang,n,noun,,,slight fever.,,,32
,adj,adjective,,/ma-/,"feverish, having a slight temperature.",,,32
álang’álang,adj,adjective,,,"doubtful, immature.",,,32
,v,verb,,/mag-/,to hesitate.,,,32
alangáy,adj,adjective,,,"equal, the same.",,,32
alás,pt,particle,,,time particle used with time-telling from dos until dose.,Alás tres na. It is already three o’clock.,,32
álat,n,noun,,/ka-/,saltiness.,,,32
,adj,adjective,,/ma-/,salty.,,,32
alát,n,noun,,,native basket made of woven bamboo strips.,,,32
álay,v,verb,,"/mag-,-an/",to be still through constant tension of the muscles.,,,32
aláy’ay,v,verb,,"/mag-,-un/","to cradle, to support, to hold arms under some person or thing so as to support.",Nag’aláy’ay si Manuel kag si Jose kay Noel.,Manuel and Jose carried Noel.,32
alkálde,n,noun,,,mayor.,,,32
alkánse,n,noun,,,loss in terms of money.,,,32
,v,verb,,/ma-/,"to lose some amount due to mismanagement in selling, to fail to gain.",,,32
,na,noun formative,,,’alkánse akú sa pagbalígya’.,,I failed to gain by selling it. 5,32
alkansíya,n,noun,,,"coin bank, empty coconut shell used as a coin bank.",,,33
alkítran,n,noun,,,"tar, asphalt.",,,33
alibángbang,n,noun,,,butterfly.,,,33
aligútgut,n,noun,,,"rage, wrath.",,,33
alimángu,n,noun,,,crab.,,,33
alipúlus,n,noun,,,"cyclone, eddy.",,,33
alíntun,v,verb,,"/mag-,-un/","to transfer, to hand down.",Gin’alíntun ni José ang balíta’ kay Joséfa.,Jose related the incident to Josefa.,33
alísto,adj,adjective,,,"alert, ready, prompt.",,,33
almasín,n,noun,,,"store, small market.",,,33
almidól,n,noun,,,starch.,,,33
almiránte,n,noun,,,"of the navy, admiral.",,,33
alpabéto,n,noun,,,alphabet.,,,33
alpómbra,n,noun,,,"carpet, rug.",,,33
álsa,v,verb,,"/mag-,-un/","to raise, to lift, to elevate slightly.",Gin’álsa nya ang báskit.,He lifted the basket.,33
alúm,n,noun,,,mole.,,,33
alúng’ung,n,noun,,,"opinion, idea, thought, knowledge.",,,33
áman,v,verb,,"/mag-,-un/",to prepare.,Gin’-áman ni nánay ang pagká’un sa bisíta.,Mother prepared the food for the visitor.,33
amargóso,n,noun,,,bitter melon.,,,33
amát’amát,adv,adverb,,,"gradually, little by little.",,6,33
,v,verb,,"/mag-,-un/","to start slowly, to gain speed, to leave one by one.",Nag’ámat’ámat na silá.,They left one by one.,34
amáy,n,noun,,,father.,,,34
ámba,n,noun,,,"prayer, chant, song.",,,34
,v,verb,,"/mag-,-un/","to sing, to pray, to adore.",Nag’ámba si Artúro.,Arturo sang.,34
ámbit,v,verb,,"/mag-,-un/","to participate, to share in.",Gin’ámbit nya ang kadunggánun.,He shared in the honor.,34
ámbung,n,noun,,/ka-/,"radiance, beauty.",,,34
,adj,adjective,,/ma-/,"radiant, effulgent, beautiful.",,,34
ámbut,id,idiom,,,I don’t know.,,,34
Amérika,n,noun,,,America.,,,34
amerikána,n,noun,,,"formal coat for men, female American citizen.",,,34
Amerikáno,n,noun,,,American citizen.,,,34
amidúl,n,noun,,,variant of almidúl.,,,34
amígo,n,noun,,,"friend, buddy.",,,34
amimíluk,n,noun,,,eyelash.,,,34
amínhan,n,noun,,,north.,,,34
ámlig,v,verb,,"/mag-,-an/","to handle with care, to be, careful.",Gin’-amligán ni Élsa ang íyang bág’ung líbro.,Elsa was careful with her new book.,34
ámpu’,n,noun,,,"prayer, pleading.",,7,34
,v,verb,,"/mag-,-un/","to pray, to beseech, to beg, to plead.",Nag’ámpu’ si Salvacíon sa Dyos.,Salvacion prayed to God.,35
ámu,n,noun,,,"boss, employer, master.",,,35
amú,pr,pronoun,,,"it, that.",,,35
,adv,adverb,,,similarly.,,,35
amú’,n,noun,,,monkey.,,,35
amúma,v,verb,,"/mag-,-un/","to be hospitable, to entertain.",,,35
ámun,pr,pronoun,,,"our, ours (first person exclusive plural pre-possessive pronoun).",,,35
ámut,n,noun,,,"subscription, donation, contribution.",,,35
,v,verb,,"/mag-,-un/","to contribute, to help by giving something.",Nag’ámut akú pára sa simbáhan.,I gave something for the church.,35
ámyun,adj,adjective,,/ma-/,fragrant.,,,35
1-an,va,verbal affix,,,"infinitive, benefactive-locative focus affix.",Gústo ku sultán si José.,I would like to write to Jose.; proposed action affix of this verb. Sulatán ku si José. I will write to Jose.; imperative action affix of this verb. Sulatan mu si José. You write to Jose.,35
2-an,va,verbal affix,verbal,,designating reciprocity of action.,Nagkita’áy silá.,They saw each other.,35
3-an,na,noun formative,,,noun formative affix designating a container or a place where an action occurs.,Nagsugál kamí sa sugálan.,We gambled in the gambling den.,35
anák,n,noun,,,child.,,8,35
,v,verb,,"/mag-,-un/","to bear a child, to give birth, to be godparent to a child during baptism or confirmation.",Nag’anák si Lucille sa búnyag.,Lucille stood as a godmother for a baptism ceremony.,36
1-anan,na,noun formative,,,noun formative affix denoting reciprocal action.,Táman ka’ínit ang sumbagánay sa síni.,The boxing episode in the film was very intense.; noun formative affix designating a container or a place. Butangánan iná’ sang mangá líbro. Those are bookshelves.,36
2-anan,va,verbal affix,verbal,,designating reciprocity of action.,Nagsumbagánay silá.,They boxed each other.,36
anád,adj,adjective,,,"usual, sophisticated, accustomed to.",,,36
,v,verb,,/ma-/,"to be accustomed to, to make familiar through experience.",Na’ánad akú mag’inúm sang tsa.,I am used to drinking tea.,36
ánay,pt,particle,,,"please, wait a minute.",Hulat ánay.,Please wait a minute.,36
,n,noun,,,termite.,,,36
-ánay,na,noun formative,,,variant of -ánan.,,,36
ánaw,n,noun,,,"deluge, great flood.",,,36
ándam,v,verb,,"/mag-,-un/","to be cautious, to be careful, to beware, to be prepared.",Nag’ámdam sa pagmaného si Pedro.,Pedro was cautious with his driving.,36
andámyu,n,noun,,,gangplank.,,,36
ándar,v,verb,,/mag-/,"to function, to work.",Nag’ándar ang motor.,The motor worked. 9,36
anhíng,adj,adjective,,,"late, departed, living comparatively recently.",,,37
áni,n,noun,,,"harvest, produce.",,,37
,v,verb,,"/mag-,-un/","to harvest, to reap.",Nag áni akú sang humáy.,I harvested some palay.,37
aningál,v,verb,,"/mag-,-un/",to have the delusion of hearing a familiar sound.,Gin’aningál nya ang tíngug ní nánay. She seemed to hear mother’s voice.,,37
ántes,adv,adverb,,,"earlier, before, in advance, previously.",,,37
antígu,v,verb,,/mag-/,"to know, to be knowledgeable.",Nag’antígu akú magmaného sang kótse.,I learned how to drive a car.,37
ánting’ánting,n,noun,,,"amulet, talisman.",,,37
antipatikú,adj,adjective,,,"unsympathetic, settled aversion.",,,37
ántud,adj,adjective,,/ma-/,"fetid, of odor, burnt.",,,37
ántus,v,verb,,"/mag-,-un/","to bear, to suffer, to endure.",Nag’ántus akú sang kapobréhan.,I suffered through poverty.,37
antyúhus,n,noun,,,"spectacles, eyeglasses.",,,37
anu,pr,pronoun,,,what.,Anú iní?.,What is this?.,37
,v,verb,,"/mag-,-un/","to become, to do with.",Nag’anú ka?.,What did you do?.,37
ánud,v,verb,,"/mag-,-un/","to drift, to flow with the current.",Gin ánud ang baláy pagbahá’.,The house was towed away during the flood.,37
ánum,num,numeral,,,six.,,10,37
1-ánun,aa,adjective formative,adjective,,formative affix attached to nouns to designate abundance in possession.,Manggaránun si Conchita.,Conchita is rich.,38
2-anun,na,noun formative,,,noun formative affix designating state of being.,Banwahánun si Teresíta.,Teresita is from the town.,38
anúnsyo,n,noun,,,"announcement, broadcast.",,,38
,v,verb,,"/mag-,-un/","to announce, to broadcast, to make public.",,,38
ányag,adj,adjective,,/ma-/,"beautiful, pretty.",,,38
ányo,n,noun,,,year.,,,38
áng,pt,particle,,,definite noun marker.,Ang líbro ára’ sa lamésa.,The book is on the table.,38
ángay,adj,adjective,,,"appropriate, becoming.",,,38
,v,verb,,"/mag-,-an/","to be well matched, to be equal, to look becoming, to fit.",,,38
ángkab,v,verb,,"/mag-,-un/","of animals, to snap, to bite, to seize with teeth so as to grip or bite.",Gin’ángkab sang idú’ ang báta’.,The dog bit the child.,38
ángkla,n,noun,,,anchor.,,,38
ángkun,v,verb,,"/mag-,-un/","to acquire, to attain, to possess.",Nag’ángkun sya sang kwárta.,He acquired some money.,38
ángga’,n,noun,,,"nickname, pet name.",,,38
,v,verb,,"/mag-,-un/","to fondle, to caress, to pet, to care for very much.",,,38
ánggid,adj,adjective,,,"alike, similar.",,11,38
