Word,Part of speech,affixation,meaning,example,English example,source
abaganhan,adjective,,broad-shouldered,,,https://en.wiktionary.org/wiki/abaganhan
abansada,adjective,,exposed to the wind,,,https://en.wiktionary.org/wiki/abansada
abang,adjective,,window (opening for light and air),,,https://en.wiktionary.org/wiki/abang
abayan,adjective,,(anatomy) waist,,,https://en.wiktionary.org/wiki/abayan
abelyana,adjective,,"brown, hazel",,,https://en.wiktionary.org/wiki/abelyana
abierto,adjective,,neuter of abiertu,,,https://en.wiktionary.org/wiki/abierto
ablaw,adjective,,"friendly, sociable",,,https://en.wiktionary.org/wiki/ablaw
abo,adjective,,(international standards) ISO 639-3 language code for Abon.,,,https://en.wiktionary.org/wiki/abo
abo-abo,adjective,,"the color of ash, ashen",,,https://en.wiktionary.org/wiki/abo-abo
abo-abohon,adjective,,"ashen, ash-colored, grey, pale",,,https://en.wiktionary.org/wiki/abo-abohon
abohon,adjective,,the color grey,,,https://en.wiktionary.org/wiki/abohon
abong,adjective,,(anatomy) top of head,,,https://en.wiktionary.org/wiki/abong
aborido,adjective,,"disturbed, uneasy, upset, worried",,,https://en.wiktionary.org/wiki/aborido
aboy,adjective,,"spouse
Synonyms: asawa, abuyan
kang aboy ― my spouse",,,https://en.wiktionary.org/wiki/aboy
absuelto,adjective,,absolved,,,https://en.wiktionary.org/wiki/absuelto
abunda,adjective,,"inflection of abundar:
third-person singular present indicative
second-person singular imperative",,,https://en.wiktionary.org/wiki/abunda
abyerto,adjective,,open; not closed,,,https://en.wiktionary.org/wiki/abyerto
adelantado,adjective,,"(historical) A title bestowed by the king on certain nobles in the 15th-17th centuries, who granted them governorship of a province or charged them with conquering a foreign territory
1838, William H[ickling] Prescott, History of the Reign of Ferdinand and Isabella, the Catholic. […], volume (please specify |volume=I to III), Boston, Mass.: American Stationers’ Company; John B. Russell, →OCLC:The grand master […] communicated it to the principal chiefs on the borders ; among others , to Don Pedro Henriquez , adelantado of Andalusia , Don Juan de Silva , count of Cifuentes , Don Alonso de Aguilar , and the marquis of Cadiz .",,,https://en.wiktionary.org/wiki/adelantado
aga-aga,adjective,,diminutive of ága: every morning,,,https://en.wiktionary.org/wiki/aga-aga
agdayan,adjective,,lazy,,,https://en.wiktionary.org/wiki/agdayan
agi,adjective,,(international standards) ISO 639-3 language code for Agariya.,,,https://en.wiktionary.org/wiki/agi
agi-agi,adjective,,"story
Synonym: istoriya",,,https://en.wiktionary.org/wiki/agi-agi
alabuton,adjective,,"cranky, eccentric",,,https://en.wiktionary.org/wiki/alabuton
alan,adjective,,Alternative form of alaunt.,,,https://en.wiktionary.org/wiki/alan
alang-alang,adjective,,"immature, inappropriate, inconvenient, unsuitable",,,https://en.wiktionary.org/wiki/alang-alang
alasoyon,adjective,,stately,,,https://en.wiktionary.org/wiki/alasoyon
alom,adjective,,"a tree, Melanolepsis multiglandulosa",,,https://en.wiktionary.org/wiki/alom
alunga-og,adjective,,"(of water) flat, insipid, stagnant, stale, vapid",,,https://en.wiktionary.org/wiki/alunga-og
amat,adjective,,definite nominative/accusative plural of amë,,,https://en.wiktionary.org/wiki/amat
amaynon,adjective,,paternal,,,https://en.wiktionary.org/wiki/amaynon
aminhan,adjective,,"north
Synonym: norte",,,https://en.wiktionary.org/wiki/aminhan
amog,adjective,,(obsolete) to run amok,,,https://en.wiktionary.org/wiki/amog
anad,adjective,,"accustomed to; skilled at; expert in
Synonym: antigo
Anad yi kami sa kainda pag buhay.We are already accustomed to this way of life.",,,https://en.wiktionary.org/wiki/anad
ananay,adjective,,"gentle, mild, soft, slow, noiseless, quiet, tranquil, quietly",,,https://en.wiktionary.org/wiki/ananay
andam,adjective,,"prepared; ready
Synonyms: preparado, puwesto, handa",,,https://en.wiktionary.org/wiki/andam
anhing,adjective,,dead; deceased; late,,,https://en.wiktionary.org/wiki/anhing
antipatiko,adjective,,"repugnant, repulsive",,,https://en.wiktionary.org/wiki/antipatiko
antiyado,adjective,,buff (color),,,https://en.wiktionary.org/wiki/antiyado
anyil,adjective,,laundry blue,,,https://en.wiktionary.org/wiki/anyil
anggid,adjective,,similar,,,https://en.wiktionary.org/wiki/anggid
anggid-anggid,adjective,,"diminutive of anggid: nearly alike, similar",,,https://en.wiktionary.org/wiki/anggid-anggid
apa,adjective,,(international standards) ISO 639-2 & ISO 639-5 language code for Southern Athabaskan languages.,,,https://en.wiktionary.org/wiki/apa
apinas,adjective,,"difficult, scarce, trying",,,https://en.wiktionary.org/wiki/apinas
arisgado,adjective,,"daring
Synonym: mapangahas",,,https://en.wiktionary.org/wiki/arisgado
asoy,adjective,,useful,,,https://en.wiktionary.org/wiki/asoy
atatayog,adjective,,useless; up to no good,,,https://en.wiktionary.org/wiki/atatayog
athag,adjective,,"clear, distinct",,,https://en.wiktionary.org/wiki/athag
atrasado sa pagbayad,adjective,,delinquent,,,https://en.wiktionary.org/wiki/atrasado_sa_pagbayad
ba-og,adjective,,"gray, grey",,,https://en.wiktionary.org/wiki/ba-og
baak,adjective,,crevice,,,https://en.wiktionary.org/wiki/baak
baba-an,adjective,,glib; talkative,,,https://en.wiktionary.org/wiki/baba-an
babayen-on,adjective,,effeminate,,,https://en.wiktionary.org/wiki/babayen-on
Bacolodnon,adjective,,resident or inhabitant of Bacolod,,,https://en.wiktionary.org/wiki/Bacolodnon
bag-o,adjective,,new,,,https://en.wiktionary.org/wiki/bag-o
bagnas,adjective,,unripe,,,https://en.wiktionary.org/wiki/bagnas
bahaw,adjective,,"cold (for food once served hot)
Synonym: malipot",,,https://en.wiktionary.org/wiki/bahaw
bahol,adjective,,"odor, smell, stink",,,https://en.wiktionary.org/wiki/bahol
bakyas,adjective,,"(of soil) rocky, stony, barren",,,https://en.wiktionary.org/wiki/bakyas
balaan,adjective,,sacred; holy,,,https://en.wiktionary.org/wiki/balaan
balaanon,adjective,,"(religion) saintly, blessed, holy",,,https://en.wiktionary.org/wiki/balaanon
balanion,adjective,,magnetic,,,https://en.wiktionary.org/wiki/balanion
balason,adjective,,sandy,,,https://en.wiktionary.org/wiki/balason
balasubas,adjective,,one who avoids meeting his obligations,,,https://en.wiktionary.org/wiki/balasubas
balaynon,adjective,,"domestic, homely",,,https://en.wiktionary.org/wiki/balaynon
baldado,adjective,,"crippled, handicapped, maimed",,,https://en.wiktionary.org/wiki/baldado
balhag,adjective,,"printed, published",,,https://en.wiktionary.org/wiki/balhag
bali,adjective,,offering,,,https://en.wiktionary.org/wiki/bali
balong,adjective,,"drunk; intoxicated
Synonym: hubog",,,https://en.wiktionary.org/wiki/balong
balotanog,adjective,,"insufficient, unsatisfactory",,,https://en.wiktionary.org/wiki/balotanog
balung,adjective,,bone,,,https://en.wiktionary.org/wiki/balung
bantog,adjective,,fame,,,https://en.wiktionary.org/wiki/bantog
bangud sa,adjective,,concerning,,,https://en.wiktionary.org/wiki/bangud_sa
baog,adjective,,sterile,,,https://en.wiktionary.org/wiki/baog
barato,adjective,,neuter of baratu,,,https://en.wiktionary.org/wiki/barato
basa,adjective,,"The catfish Pangasius bocourti.
Synonyms: (Britain) cobbler, river cobbler",,,https://en.wiktionary.org/wiki/basa
basa-basa,adjective,,to leaf through; to peruse; to skim,,,https://en.wiktionary.org/wiki/basa-basa
basag,adjective,,characteristic of the sound of a blown speaker,,,https://en.wiktionary.org/wiki/basag
basag-ulo,adjective,,"brainless, stupid, silly",,,https://en.wiktionary.org/wiki/basag-ulo
basta,adjective,,"(obsolete outside Spanish/Portuguese/Italian contexts) (that's) enough; stop!
c. 1590–1592 (date written), William Shakespeare, “The Taming of the Shrew”, in Mr. William Shakespeares Comedies, Histories, & Tragedies […] (First Folio), London:  […]  Isaac Iaggard, and Ed[ward] Blount, published 1623, →OCLC, [Act I, scene i], page 212, column 1:Baſta, content thee: for I haue it full.",,,https://en.wiktionary.org/wiki/basta
bastos,adjective,,plural of basto,,,https://en.wiktionary.org/wiki/bastos
bat-ol,adjective,,"dull, stupid, or obstinate",,,https://en.wiktionary.org/wiki/bat-ol
batan-on,adjective,,young,,,https://en.wiktionary.org/wiki/batan-on
bataon,adjective,,"(Naga, informal) to court
Synonyms: ilusiyonan, pidayan",,,https://en.wiktionary.org/wiki/bataon
batid,adjective,,"(formal) to know
Synonym: aram",,,https://en.wiktionary.org/wiki/batid
batohon,adjective,,"rocky, rugged, stone, stony",,,https://en.wiktionary.org/wiki/batohon
batok sa kasugoan,adjective,,"unconstitutional, unlawful",,,https://en.wiktionary.org/wiki/batok_sa_kasugoan
baug,adjective,,barren,,,https://en.wiktionary.org/wiki/baug
baw-as,adjective,,"(usually said of women) barren, childless",,,https://en.wiktionary.org/wiki/baw-as
baw-ing,adjective,,"(places) deserted, desolate, isolated, far away, lonely, secluded",,,https://en.wiktionary.org/wiki/baw-ing
bawod,adjective,,"(Metro Cebu, Bohol, Leyte) alternative form of balod (“wave”)",,,https://en.wiktionary.org/wiki/bawod
bayud,adjective,,"unsteady, shaky, unstable
Synonyms: bawod, mahuyang",,,https://en.wiktionary.org/wiki/bayud
berde,adjective,,"A stringed instrument (chordophone) of Bosnian origin, a large guitar-shaped instrument that is played upright, using a plectrum.",,,https://en.wiktionary.org/wiki/berde
bilog,adjective,,"round; circular; spherical
Synonyms: lidong, matalimon",,,https://en.wiktionary.org/wiki/bilog
binabaye,adjective,,a rooster with hen feathering,,,https://en.wiktionary.org/wiki/binabaye
binaboy,adjective,,"hoggish, piggish",,,https://en.wiktionary.org/wiki/binaboy
binata,adjective,,"juvenile, immature, puerile, childish",,,https://en.wiktionary.org/wiki/binata
Binisaya,adjective,,Visayan,,,https://en.wiktionary.org/wiki/Binisaya
binulan,adjective,,monthly,,,https://en.wiktionary.org/wiki/binulan
bingaw,adjective,,broken,,,https://en.wiktionary.org/wiki/bingaw
birhin,adjective,,virgin,,,https://en.wiktionary.org/wiki/birhin
Bisaya,adjective,,An indigenous people of Borneo.,,,https://en.wiktionary.org/wiki/Bisaya
bitas,adjective,,to rip; to tear apart,,,https://en.wiktionary.org/wiki/bitas
bitayan,adjective,,gallows; gibbet; scaffold,,,https://en.wiktionary.org/wiki/bitayan
bokhon,adjective,,hairy,,,https://en.wiktionary.org/wiki/bokhon
bug-at,adjective,,"heavy
Antonym: gaan",,,https://en.wiktionary.org/wiki/bug-at
bug-os,adjective,,"complete, whole",,,https://en.wiktionary.org/wiki/bug-os
bugal,adjective,,arrogant,,,https://en.wiktionary.org/wiki/bugal
buggaitan,adjective,,"prominent, famous, outstanding, excelling, excellent, surpassing others in skill, the best of its kind",,,https://en.wiktionary.org/wiki/buggaitan
bugnaw,adjective,,"cold, cool",,,https://en.wiktionary.org/wiki/bugnaw
