word,pos_symbol,pos_word,meaning,sentiment score,sentiment,RESPONDENT BASIS,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20,MODE,Comparison
-ista,NN,noun formative,noun formative affix denoting profession or type of job.,0,Neutral,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
-lu-,VB,verbal affix,variant of -la-.,0,Neutral,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,TRUE
1-in-…-an,NN,noun formative,noun formative affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,TRUE
1-ka-…-an,NN,noun formative,noun formative affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,TRUE
1-ma-,VB,verbal affix,proposed action affix of the  verb.,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,TRUE
1-pag-,VB,verbal affix,actor focus affix.,0,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
abak-abak,VB,verb,frequentative of ábak,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,TRUE
abat-abat,VB,verb,diminutive of ábat,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,TRUE
abilidad,NN,noun,dexterity,0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
abrasita,VB,verb,hug,0.477,Positive,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,TRUE
abrigo,NN,noun,shawl,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,TRUE
abud,NN,noun,hem,0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
abwa,VB,verb,make,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,TRUE
adelantado,JJ,adjective,"advanced , modern",0.25,Positive,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,0,1,TRUE
administrasyon,NN,noun,"administration , management",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,TRUE
adtang,NN,noun,the forehead,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,TRUE
agdayan,JJ,adjective,lazy,-0.361,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,TRUE
agila,NN,noun,eagle,0,Neutral,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,1,0,TRUE
ahos,NN,noun,garlic ( allium sativum ),0,Neutral,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,-1,0,1,1,0,0,0,TRUE
aihado,NN,noun,godson,0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,TRUE
álam,JJ,adjective,"bright, smart, brilliant.",0.856,Positive,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1,1,TRUE
alamilaw,VB,verb,to doze,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0,1,0,0,TRUE
alang-alang,JJ,adjective,"immature , inappropriate , inconvenient , unsuitable",-0.34,Negative,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,TRUE
almohada,NN,noun,"cushion , pillow",0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
alom,JJ,adjective,"dark , dim",0,Neutral,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,TRUE
alpómbra,NN,noun,"carpet, rug.",0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,TRUE
alunga-og,JJ,adjective,"( of water ) flat , insipid , stagnant , stale , vapid",-0.459,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
ánaw,NN,noun,"deluge, great flood.",0.625,Positive,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,TRUE
anay,NN,noun,termite,0,Neutral,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,TRUE
andam,JJ,adjective,"careful , cautious , wary synonyms: tagam , paiway",0.052,Positive,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,-1,1,1,TRUE
ándam,VB,verb,"to be cautious, to be careful, to beware, to be prepared.",0.273,Positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,0,0,1,TRUE
ándar,VB,verb,"to function, to work.",0,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,TRUE
áng,RP,particle,definite noun marker.,0.273,Positive,1,0,0,1,0,0,1,0,0,0,1,1,0,0,-1,0,0,1,1,1,1,0,FALSE
áni,NN,noun,"harvest, produce.",0,Neutral,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
antipatiko,JJ,adjective,"repugnant , repulsive",0,Neutral,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,TRUE
aplá’ag,VB,verb,"to spread, to break and scatter.",0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,0,0,0,0,TRUE
apo,NN,noun,grandchild,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,TRUE
apo,NN,noun,grandfather,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,TRUE
asílo,NN,noun,"sanctuary, institution of relief or care for the destitute or afflicted.",0.586,Positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,TRUE
aslum,NN,noun,acidity,0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
áslum,JJ,adjective,sour.,0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,TRUE
aso,NN,noun,smoke,0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,TRUE
aspalto,VB,verb,to asphalt,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
atipalo,NN,noun,earwig,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
