word,pos_symbol,pos_word,meaning,score
a,pt,particle,"oh, well, hesitating filler.",-0.077
-a,va,verbal affix,affix.,0.0
abakáda,n,noun,alphabet.,0.0
abága,n,noun,shoulder.,0.0
abalóryo,n,noun,"rosary beads, strung beads, necklace.",0.0
ábay,n,noun,"of weddings, witness.",0.0
abáw,intj,interjection,"oh, wow, really.",0.586
aberíya,v,verb,"to have engine trouble, to stop.",-0.599
abí’,pt,particle,"let me see, would you please, hey, excuse please.",0.599
ábi’ábi,v,verb,"to greet, to shake hands with.",0.153
ábi’ábi,adj,adjective,"kind, friendly, civil.",0.153
abogádo,n,noun,"lawyer, attorney-at-law.",0.0
abóso,n,noun,abuse.,-0.637
abóso,v,verb,"to abuse, to take advantage of.",-0.637
ábri,v,verb,"to unlock, to unfasten, to open.",0.0
abríl,n,noun,april.,0.0
ábtik,adj,adjective,"active, brisk, lively.",0.735
abú,n,noun,ash.,0.0
abúnu,n,noun,fertilizer.,0.0
abúnu,v,verb,to fertilize.,0.0
abút,v,verb,"to arrive, to reach, to come to.",0.026
abút,adj,adjective,"cranky, irritable, moody.",0.026
alabútun,na,noun formative,ang tigúlang.,0.0
ábyan,n,noun,"friend, buddy.",0.494
ákig,n,noun,"anger, hatred.",-0.836
ákig,v,verb,"to be angry, to scold.",-0.836
akú,pr,pronoun,"i, me (first person singular nominal pronoun).",0.0
áku’,v,verb,"to own, to claim, to promise, to swear, to admit.",0.44
ákun,pr,pronoun,"my, mine (first person singular pre-possessive pronoun).",0.0
ádlaw,n,noun,"day, birthday, anniversary.",0.0
ádlaw’ádlaw,adv,adverb,"daily, everyday.",0.0
-ado,aa,adjective formative,formative affix designating conditions or state of being.,0.0
ága,n,noun,morning.,0.0
agálun,n,noun,"master, boss.",0.0
ágaw,v,verb,"to grab, to seize, to take by force, to usurp.",0.0
ágay,v,verb,"to flow slowly, to drip in small drops.",0.0
ágbay,v,verb,to put one’s arm on or about the shoulder of another person.,0.0
ágda,v,verb,"to ask, to invite.",0.153
ági,n,noun,"handwriting;  way, means.",0.0
ági,v,verb,"to pass by for something, to pass through.",0.0
agí’,n,noun,hermaphrodite.,0.0
agí’,adj,adjective,"effeminate, sissy.",0.0
agósto,n,noun,august.,0.0
agrimensór,n,noun,surveyor.,0.0
ágsa,v,verb,to work another’s field for part of the produce.,0.0
ágsa,n,noun,tenant.,0.0
ágsik,v,verb,"to fly off, to scatter, to spray.",0.0
ágtang,n,noun,forehead.,0.0
agúd,con,conjunction,so that.,0.0
águm,v,verb,"to obtain, to attain, to achieve, to possess.",0.0
águm,n,noun,"possessions, things.",0.0
ágwa,n,noun,"perfume, cologne.",0.0
agwánta,v,verb,"to bear, to tolerate, to suffer.",-0.542
ahá’,v,verb,"to insist, to ask fervently.",0.0
ahénsya,n,noun,pawnshop.,0.0
ahénte,n,noun,agent.,0.0
áhos,n,noun,garlic.,0.0
alabá’ab,adj,adjective,"of liquid, lukewarm.",0.0
álak,n,noun,"hard drink, liquor.",-0.103
alágad,n,noun,adopted person.,0.0
alágad,v,verb,"to adopt, to take care of someone.",0.0
aláhas,n,noun,jewelry.,0.0
álam,n,noun,"wisdom, knowledge.",0.527
álam,adj,adjective,"bright, smart, brilliant.",0.527
álam,v,verb,"to become smart, to become brilliant.",0.527
alámbre,n,noun,wire.,0.0
alangá’ang,n,noun,slight fever.,0.0
alangá’ang,adj,adjective,"feverish, having a slight temperature.",0.0
álang’álang,adj,adjective,"doubtful, immature.",-0.34
álang’álang,v,verb,to hesitate.,-0.34
alangáy,adj,adjective,"equal, the same.",0.0
alás,pt,particle,time particle used with time-telling from dos until dose.,0.0
álat,n,noun,saltiness.,0.0
álat,adj,adjective,salty.,0.0
alát,n,noun,native basket made of woven bamboo strips.,0.0
álay,v,verb,to be still through constant tension of the muscles.,-0.318
aláy’ay,v,verb,"to cradle, to support, to hold arms under some person or thing so as to support.",0.687
alkálde,n,noun,mayor.,0.0
alkánse,n,noun,loss in terms of money.,-0.318
alkánse,v,verb,"to lose some amount due to mismanagement in selling, to fail to gain.",-0.318
alkánse,na,noun formative,’alkánse akú sa pagbalígya’.,-0.318
alkansíya,n,noun,"coin bank, empty coconut shell used as a coin bank.",-0.202
alkítran,n,noun,"tar, asphalt.",0.0
alibángbang,n,noun,butterfly.,0.0
aligútgut,n,noun,"rage, wrath.",-0.557
alimángu,n,noun,crab.,0.0
alipúlus,n,noun,"cyclone, eddy.",0.0
alíntun,v,verb,"to transfer, to hand down.",0.494
alísto,adj,adjective,"alert, ready, prompt.",0.572
almasín,n,noun,"store, small market.",0.0
almidól,n,noun,starch.,0.0
almiránte,n,noun,"of the navy, admiral.",0.318
alpabéto,n,noun,alphabet.,0.0
alpómbra,n,noun,"carpet, rug.",0.0
álsa,v,verb,"to raise, to lift, to elevate slightly.",0.0
alúm,n,noun,mole.,0.0
alúng’ung,n,noun,"opinion, idea, thought, knowledge.",0.0
áman,v,verb,to prepare.,0.0
amargóso,n,noun,bitter melon.,-0.421
amát’amát,adv,adverb,"gradually, little by little.",0.0
amát’amát,v,verb,"to start slowly, to gain speed, to leave one by one.",0.0
amáy,n,noun,father.,0.0
ámba,n,noun,"prayer, chant, song.",0.0
