word,pos_symbol,pos_word,meaning,sentiment score,sentiment,RESPONDENT BASIS,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20
-ay,VB,verbal affix,variant of -an.,0.0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-ista,NN,noun formative,noun formative affix denoting profession or type of job.,0.0,Neutral,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1-ka,PRP,pronoun,you (short form of ikáw).,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,0
1-mang-,VB,verbal affix,active action affix usually designating plural or repeated action.,0.402,Positive,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2-in-…-an,VB,verbal affix,completed action transitive verb affix.,0.0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0
abat-abat,VB,verb,living from hand to mouth,0.494,Positive,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abian,VB,verb,alternative form of abyan,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abono,NN,noun,payment for another in advance,0.0,Neutral,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,0,0,0
aboy,JJ,adjective,bent ; curved ; warped,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0
abrigo,NN,noun,shawl,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
abusar,VB,verb,"to misuse or abuse , to take advantage of",-0.494,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abút,JJ,adjective,"cranky, irritable, moody.",-0.681,Negative,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1
abut-abut,VB,verb,frequentative of abút,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
ad-adan,NN,noun,"slicer , a frame knife",0.0,Neutral,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0
ádlaw,NN,noun,"day, birthday, anniversary.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
administrasyon,NN,noun,"administration , management",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0
agalon,NN,noun,"boss , employer , lord , master",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
ági,VB,verb,"to pass by for something, to pass through.",0.0,Neutral,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
agwatato,NN,noun,procurer ( someone who arranges for prostitution ),0.0,Neutral,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
akal-akal,VB,verb,to bubble or seethe,0.0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
áku’,VB,verb,"to own, to claim, to promise, to swear, to admit.",0.44,Positive,1,1,1,1,1,1,-1,1,1,1,0,1,-1,1,1,1,0,1,1,-1,1
aláhas,NN,noun,jewelry.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
álam,JJ,adjective,"bright, smart, brilliant.",0.856,Positive,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,1
álam,VB,verb,"to become smart, to become brilliant.",0.758,Positive,1,1,1,1,1,1,1,1,-1,1,-1,0,1,1,1,1,1,0,1,1,1
almasín,NN,noun,"store, small market.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almon,NN,noun,tree,0.0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
alpabéto,NN,noun,alphabet.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
