word,POS symbol,POS word,meaning
-a,VB,verbal affix,affix.
-ado,JJ,adjective formative,formative affix designating conditions or state of being.
-ánay,NN,noun formative,variant of -ánan.
-aryo,NN,noun formative,noun formative affix designating state of being.
-ay,VB,verbal affix,variant of -an.
-dor,NN,noun formative,noun formative affix.
-ero,NN,noun formative,noun formative affix designating type of work done.
-i,VB,verbal affix,benefactive-locative focus affix.
-ista,NN,noun formative,noun formative affix denoting profession or type of job.
-kig-,VB,verbal affix,social reciprocal actor focus affix.
-la-…-an,NN,noun formative,noun formative affix designating repetitive or social action occurring in a place.
-la-…-un,NN,noun formative,noun formative affix designating an action to be performed to the object or person referred to.
-li-,VB,verbal affix,variant of -la-.
-lu-,VB,verbal affix,variant of -la-.
-pa-,VB,verbal affix,"designating causation of action, meaning to allow to happen, to make possible, to happen."
-pa-…-un,VB,verbal affix,designating causation of action by the acor in the construction.
-pang-,VB,verbal affix,action affix.
-um-,VB,verbal affix,designating completed action.
-un,VB,verbal affix,infinitive goal focus affix.
-uso,JJ,adjective formative,"formative affix designating condition, quality or state of being."
1-an,VB,verbal affix,"infinitive, benefactive-locative focus affix."
1-anan,NN,noun formative,noun formative affix denoting reciprocal action.
1-ánun,JJ,adjective formative,formative affix attached to nouns to designate abundance in possession.
1-i-,VB,verbal affix,general proposed action instrumental affix.
1-in-,NN,noun formative,noun formative affix.
1-in-…-an,NN,noun formative,noun formative affix.
1-ka,PRP,pronoun,you (short form of ikáw).
1-ka-,VB,verbal affix,variant of naká-.
1-ka-…-an,NN,noun formative,noun formative affix.
1-kay,CC,conjunction,"because, for."
1-la-,VB,verbal affix,"or group action affix, used together with general aspect affixes."
1-ma-,VB,verbal affix,proposed action affix of the  verb.
1-ma-…-un,NN,noun formative,noun formative affix designating a state of being as described by the adjective root.
1-mag-,VB,verbal affix,infinitive actor focus affix.
1-mang-,VB,verbal affix,active action affix usually designating plural or repeated action.
1-pa-,VB,verbal affix,to move in the direction of.
1-pag-,VB,verbal affix,actor focus affix.
1-pagka-,VB,verbal affix,"immediately after, following, verbal affix designating action completed before another action."
1-pang-,VB,verbal affix,frequent or repeated action affix of goal focus imperative mode.
2-an,VB,verbal affix,designating reciprocity of action.
2-anan,VB,verbal affix,designating reciprocity of action.
2-anun,NN,noun formative,noun formative affix designating state of being.
2-i-,VB,verbal affix,goal focus affix.
2-ika-,VB,verbal affix,designating possibility of an action to happen.
2-in-,JJ,adjective formative,formative affix to designate manner or state of being.
2-in-…-an,VB,verbal affix,completed action transitive verb affix.
2-ka,RP,particle,designates quantity or amount.
2-ka-,NN,noun formative,noun formative affix used with verbs designating reciprocal relationship.
2-kay,RP,particle,personal name pre-possessive marker.
2-la-,NN,noun formative,noun formative affix when combined with .
2-ma-,JJ,adjective formative,"formative affix attached to nouns, verb or adjective roots."
2-ma-…-un,JJ,adjective formative,formative affix designating state of being.
2-mag-,NN,noun formative,noun formative affix designating reciprocal relationship.
2-mang-,NN,noun formative,noun formative affix designating type of job or profession.
2-pa-,NN,noun formative,noun formative affix used with verbs.
2-pag-,NN,noun formative,noun formative affix when used with verbs.
2-pagka-,NN,noun formative,"noun formative affix designating state of being, manner of being."
2-pang-,NN,noun formative,noun formative affix used to designate something used repeatedly.
3-an,NN,noun formative,noun formative affix designating a container or a place where an action occurs.
3-in-,VB,verbal affix,designating manner of performance or state of being.
3-ka-,JJ,adjective formative,formative affix designating comparative and superlative degrees of comparison.
3-la-,JJ,adjective formative,adjective formative affix.
a,RP,particle,"oh, well, hesitating filler."
