word,POS symbol,POS word,meaning
abaganhan,JJ,adjective,broad-shouldered
abansada,JJ,adjective,exposed to the wind
abang,JJ,adjective,window (opening for light and air)
abayan,JJ,adjective,(anatomy) waist
abelyana,JJ,adjective,"brown, hazel"
abierto,JJ,adjective,neuter of abiertu
ablaw,JJ,adjective,"friendly, sociable"
abo,JJ,adjective,(international standards) iso 639-3 language code for abon.
abo-abo,JJ,adjective,"the color of ash, ashen"
abo-abohon,JJ,adjective,"ashen, ash-colored, grey, pale"
abohon,JJ,adjective,the color grey
abong,JJ,adjective,(anatomy) top of head
aborido,JJ,adjective,"disturbed, uneasy, upset, worried"
aboy,JJ,adjective,"spouse
synonyms: asawa, abuyan
kang aboy ― my spouse"
absuelto,JJ,adjective,absolved
abunda,JJ,adjective,"inflection of abundar:
third-person singular present indicative
second-person singular imperative"
abyerto,JJ,adjective,open; not closed
adelantado,JJ,adjective,"(historical) a title bestowed by the king on certain nobles in the 15th-17th centuries, who granted them governorship of a province or charged them with conquering a foreign territory
1838, william h[ickling] prescott, history of the reign of ferdinand and isabella, the catholic. […], volume (please specify |volume=i to iii), boston, mass.: american stationers’ company; john b. russell, →oclc:the grand master […] communicated it to the principal chiefs on the borders ; among others , to don pedro henriquez , adelantado of andalusia , don juan de silva , count of cifuentes , don alonso de aguilar , and the marquis of cadiz ."
aga-aga,JJ,adjective,diminutive of ága: every morning
agdayan,JJ,adjective,lazy
agi,JJ,adjective,(international standards) iso 639-3 language code for agariya.
agi-agi,JJ,adjective,"story
synonym: istoriya"
alabuton,JJ,adjective,"cranky, eccentric"
alan,JJ,adjective,alternative form of alaunt.
alang-alang,JJ,adjective,"immature, inappropriate, inconvenient, unsuitable"
alasoyon,JJ,adjective,stately
alom,JJ,adjective,"a tree, melanolepsis multiglandulosa"
alunga-og,JJ,adjective,"(of water) flat, insipid, stagnant, stale, vapid"
amat,JJ,adjective,definite nominative/accusative plural of amë
amaynon,JJ,adjective,paternal
aminhan,JJ,adjective,"north
synonym: norte"
amog,JJ,adjective,(obsolete) to run amok
anad,JJ,adjective,"accustomed to; skilled at; expert in
synonym: antigo
anad yi kami sa kainda pag buhay.we are already accustomed to this way of life."
ananay,JJ,adjective,"gentle, mild, soft, slow, noiseless, quiet, tranquil, quietly"
andam,JJ,adjective,"prepared; ready
synonyms: preparado, puwesto, handa"
anhing,JJ,adjective,dead; deceased; late
antipatiko,JJ,adjective,"repugnant, repulsive"
antiyado,JJ,adjective,buff (color)
anyil,JJ,adjective,laundry blue
anggid,JJ,adjective,similar
anggid-anggid,JJ,adjective,"diminutive of anggid: nearly alike, similar"
apa,JJ,adjective,(international standards) iso 639-2 & iso 639-5 language code for southern athabaskan languages.
apinas,JJ,adjective,"difficult, scarce, trying"
arisgado,JJ,adjective,"daring
synonym: mapangahas"
asoy,JJ,adjective,useful
atatayog,JJ,adjective,useless; up to no good
athag,JJ,adjective,"clear, distinct"
atrasado sa pagbayad,JJ,adjective,delinquent
ba-og,JJ,adjective,"gray, grey"
baak,JJ,adjective,crevice
baba-an,JJ,adjective,glib; talkative
babayen-on,JJ,adjective,effeminate
bacolodnon,JJ,adjective,resident or inhabitant of bacolod
bag-o,JJ,adjective,new
bagnas,JJ,adjective,unripe
bahaw,JJ,adjective,"cold (for food once served hot)
synonym: malipot"
bahol,JJ,adjective,"odor, smell, stink"
bakyas,JJ,adjective,"(of soil) rocky, stony, barren"
balaan,JJ,adjective,sacred; holy
balaanon,JJ,adjective,"(religion) saintly, blessed, holy"
balanion,JJ,adjective,magnetic
balason,JJ,adjective,sandy
balasubas,JJ,adjective,one who avoids meeting his obligations
balaynon,JJ,adjective,"domestic, homely"
baldado,JJ,adjective,"crippled, handicapped, maimed"
balhag,JJ,adjective,"printed, published"
bali,JJ,adjective,offering
balong,JJ,adjective,"drunk; intoxicated
synonym: hubog"
balotanog,JJ,adjective,"insufficient, unsatisfactory"
balung,JJ,adjective,bone
bantog,JJ,adjective,fame
bangud sa,JJ,adjective,concerning
baog,JJ,adjective,sterile
barato,JJ,adjective,neuter of baratu
basa,JJ,adjective,"the catfish pangasius bocourti.
synonyms: (britain) cobbler, river cobbler"
basa-basa,JJ,adjective,to leaf through; to peruse; to skim
basag,JJ,adjective,characteristic of the sound of a blown speaker
basag-ulo,JJ,adjective,"brainless, stupid, silly"
basta,JJ,adjective,"(obsolete outside spanish/portuguese/italian contexts) (that's) enough; stop!
c. 1590–1592 (date written), william shakespeare, “the taming of the shrew”, in mr. william shakespeares comedies, histories, & tragedies […] (first folio), london:  […]  isaac iaggard, and ed[ward] blount, published 1623, →oclc, [act i, scene i], page 212, column 1:baſta, content thee: for i haue it full."
bastos,JJ,adjective,plural of basto
bat-ol,JJ,adjective,"dull, stupid, or obstinate"
batan-on,JJ,adjective,young
bataon,JJ,adjective,"(naga, informal) to court
synonyms: ilusiyonan, pidayan"
batid,JJ,adjective,"(formal) to know
synonym: aram"
batohon,JJ,adjective,"rocky, rugged, stone, stony"
batok sa kasugoan,JJ,adjective,"unconstitutional, unlawful"
baug,JJ,adjective,barren
baw-as,JJ,adjective,"(usually said of women) barren, childless"
baw-ing,JJ,adjective,"(places) deserted, desolate, isolated, far away, lonely, secluded"
bawod,JJ,adjective,"(metro cebu, bohol, leyte) alternative form of balod (“wave”)"
bayud,JJ,adjective,"unsteady, shaky, unstable
synonyms: bawod, mahuyang"
berde,JJ,adjective,"a stringed instrument (chordophone) of bosnian origin, a large guitar-shaped instrument that is played upright, using a plectrum."
bilog,JJ,adjective,"round; circular; spherical
synonyms: lidong, matalimon"
binabaye,JJ,adjective,a rooster with hen feathering
binaboy,JJ,adjective,"hoggish, piggish"
binata,JJ,adjective,"juvenile, immature, puerile, childish"
binisaya,JJ,adjective,visayan
binulan,JJ,adjective,monthly
bingaw,JJ,adjective,broken
birhin,JJ,adjective,virgin
bisaya,JJ,adjective,an indigenous people of borneo.
bitas,JJ,adjective,to rip; to tear apart
bitayan,JJ,adjective,gallows; gibbet; scaffold
bokhon,JJ,adjective,hairy
bug-at,JJ,adjective,"heavy
antonym: gaan"
bug-os,JJ,adjective,"complete, whole"
bugal,JJ,adjective,arrogant
buggaitan,JJ,adjective,"prominent, famous, outstanding, excelling, excellent, surpassing others in skill, the best of its kind"
bugnaw,JJ,adjective,"cold, cool"
buhaha,JJ,adjective,"heedless, lavish, prodigal, wasteful"
buhat,JJ,adjective,"raise; lift; act of picking up something heavy
synonyms: alsa, tuon"
buhi,JJ,adjective,"to live
nabuhi si hesukristo sa dominggo sa pagkabanhawjesus rose again on easter sunday"
bukas,JJ,adjective,plural of buka
bukidnon,JJ,adjective,rural
bulag,JJ,adjective,to separate; to cause (things or people) to be separate
bulahan,JJ,adjective,lucky; fortunate; blessed
bunayag makig-atubang,JJ,adjective,genial
bunayag sing kabubut-on,JJ,adjective,cordial
bundul,JJ,adjective,"slow, dull, deliberate in action"
bungul,JJ,adjective,stupid
bus-og,JJ,adjective,"pure, unadulterated,"
busgon,JJ,adjective,satiated
busong,JJ,adjective,"pregnant
synonym: mabdos"
busug,JJ,adjective,"satiated, satisfied"
busung,JJ,adjective,alternative spelling of busong (“pregnant”)
buta,JJ,adjective,alternative form of boteh.
butad,JJ,adjective,to pull
butok-butok,JJ,adjective,diligent
buung,JJ,adjective,"broken, smashed"
daan,JJ,adjective,"(now rare) old (already used)
synonyms: luma, antigo
antonym: bago"
dagaang,JJ,adjective,"red, scarlet"
dagangdang,JJ,adjective,"red, scarlet"
daginit,JJ,adjective,"(of wind) gentle, soft, mild, tender, warm"
dagway nga makahuhuya,JJ,adjective,shabby
daku,JJ,adjective,(anatomy) back
daku kaayo,JJ,adjective,very big
daku-daku,JJ,adjective,diminutive of daku
dalag,JJ,adjective,mudfish
dalagku,JJ,adjective,"big, large"
dalamhak,JJ,adjective,wayward
dalang-dalang,JJ,adjective,astray
dalayawon,JJ,adjective,"great, praiseworthy, laudable"
dalisay,JJ,adjective,pure
dalitan,JJ,adjective,"poisonous, venomous"
dalok,JJ,adjective,"greedy, gluttonous"
dalum,JJ,adjective,(of depth) deep
damak,JJ,adjective,"dirty, slovenly, untidy"
dapit,JJ,adjective,"regarding; about
synonym: manunungod"
dasig,JJ,adjective,"(austria, switzerland, possibly dated) confused, intimidated
(the addition of quotations indicative of this usage is being sought:)"
delana,JJ,adjective,woolen
dimaisip,JJ,adjective,"countless, innumerable"
dimalas,JJ,adjective,unlucky; unfortunate
dimasaysay,JJ,adjective,"inexplicable, mysterious"
dimatarung,JJ,adjective,dishonest
dimatungkad,JJ,adjective,"bottomless, inscrutable, unfathomable"
dingot,JJ,adjective,nominative plural of dingo
diosnon,JJ,adjective,devout
diosnon,JJ,adjective,"divine, godly, godlike, pious"
dipaha,JJ,adjective,made of straw
diyotay,JJ,adjective,"little, small
synonym: gamay"
diyutay,JJ,adjective,"deprecated, pre-2014 spelling of diyotay."
dorado,JJ,adjective,"a mahi-mahi or dolphinfish (coryphaena hippurus), fish with a dorsal fin that runs the length of the body, also known for iridescent coloration."
dugoon,JJ,adjective,"bloody, gory"
dugus,JJ,adjective,the best part of a thing
dumaan,JJ,adjective,old
dunot,JJ,adjective,decayed; rotten
dupak,JJ,adjective,"dirty, foul, obscene, smutty"
dutan-on,JJ,adjective,"earthly, worldly"
enkantado,JJ,adjective,magical
gabuk,JJ,adjective,"rotten, decayed, decomposed"
gago,JJ,adjective,jerk; bastard
gamay,JJ,adjective,alternative letter-case form of gamay.
gambal,JJ,adjective,bulky
garot,JJ,adjective,dense
gastado,JJ,adjective,past participle of gastar
ginsugoran,JJ,adjective,elementary
gipak,JJ,adjective,broken
gulang,JJ,adjective,"mature (fruits)
antonym: linghod"
gutok,JJ,adjective,"(of a container, clothing, etc.) filled to the point tightness"
gutom,JJ,adjective,"hungry; famished
synonym: punaw
coordinate term: paha
gutom na an bisita.the visitor is already hungry."
habal,JJ,adjective,"to mate; to copulate
synonyms: iyot, kayat, hilawas, jerjer, torjak"
halampangan,JJ,adjective,trifling
halandumon,JJ,adjective,desirable
halang,JJ,adjective,hot; pungent; spicy
halog,JJ,adjective,ample
handa,JJ,adjective,"prepared
synonyms: andam, preparado, puwesto"
hanlug,JJ,adjective,slippery
hanluk,JJ,adjective,alternative spelling of hánlug
hangaway,JJ,adjective,"martial, warlike"
hanginan,JJ,adjective,well-ventilated
haway,JJ,adjective,(wearside) alternative spelling of howay.
hinali,JJ,adjective,sudden
hinlo,JJ,adjective,"smooth, level"
hipos,JJ,adjective,"to clean up; to collect, to gather"
hubog,JJ,adjective,"drunk; inebriated
synonyms: burat, buyong, nakainom, lango"
hubu,JJ,adjective,accusative singular of huba
hubug,JJ,adjective,alternative spelling of hubog (“drunk; intoxicated”)
hugot,JJ,adjective,"suicide (usually by a hangman's noose around one's neck)
synonym: pakagadan"
hugut,JJ,adjective,tight
ignorante,JJ,adjective,"ignorant
synonym: mangmang"
isa,JJ,adjective,(international standards) iso 639-3 language code for isabi.
isa pa,JJ,adjective,"likewise, plus"
itom,JJ,adjective,black (color/colour)
kabanyagaan,JJ,adjective,"mean, malicious, vile, wicked"
kabangis,JJ,adjective,"fierceness, ferocity"
kabataon,JJ,adjective,young
kadam-an,JJ,adjective,many
kadiotay,JJ,adjective,small
kapid,JJ,adjective,nominative plural of kapp
katalaka,JJ,adjective,"annoying, bothersome"
katsila,JJ,adjective,"spanish
synonym: espanyol"
laba,JJ,adjective,"length (measurement)
synonym: lawig
antonym: lipot"
lamokon,JJ,adjective,filled with mosquitoes
lanog,JJ,adjective,"weal; bruise, black eye"
lapuyot,JJ,adjective,"thick, condensed, coagulated"
law-ay,JJ,adjective,vulgar; debased
lipay,JJ,adjective,"(naga) caterpillar
synonym: atitiras"
lunangon,JJ,adjective,muddy
maagol,JJ,adjective,"lazy, indolent, idle"
maalam,JJ,adjective,"learned, clever, wise"
maalwan,JJ,adjective,generous
maambas,JJ,adjective,expensive or wasteful
maambong,JJ,adjective,nice
maantod,JJ,adjective,alternative form of maangtod (“burned”)
maanyag,JJ,adjective,"attractive; pretty; good-looking
synonyms: nindot, tahom"
maanghit,JJ,adjective,smelling like a goat
maaslum,JJ,adjective,sour
maayo,JJ,adjective,"good, nice
maayo kaayo ― very good
responsible
skillful, competent
beneficial
satisfying, pleasant
healthful"
maayo-ayo,JJ,adjective,"beautiful, seemly, pretty"
mabahaw,JJ,adjective,"stale, old"
mabangis,JJ,adjective,"ferocious; wild; cruel; mean
synonyms: maisog, makuri, maringis"
mabasa,JJ,adjective,"(naga) to get wet; to get covered or impregnated with any liquid
synonym: madumog"
mabaskug,JJ,adjective,"loud
synonym: magansal"
mabinantayon,JJ,adjective,watchful
mabug-at,JJ,adjective,heavy
mabulakon,JJ,adjective,abounding in flowers
madali,JJ,adjective,"quickly; hurriedly; rushingly
madali siyang naghali sa trabaho para magduman sa saiyang aki na nasa ospital.s/he quickly left from work to go to the hospital where her child is confined."
madanlog,JJ,adjective,"elusive, or slippery"
maduyug,JJ,adjective,attracted
maganas,JJ,adjective,"tasteless, insipid
antonym: marabó"
magarot,JJ,adjective,"noisy, boisterous"
mahagup,JJ,adjective,"tame, docile, gentle"
maidlak,JJ,adjective,glittering or sparkling
mainit,JJ,adjective,"hot, sweltering
antonym: malipot"
mainpolon,JJ,adjective,round
maingol,JJ,adjective,"rare, scarce"
maitum,JJ,adjective,black
makakululba,JJ,adjective,"intimidating, disconcerting"
malipayon,JJ,adjective,"happy
antonym: subo"
malolot,JJ,adjective,"affectionate, tender"
manipis,JJ,adjective,thin
mango,JJ,adjective,"a tropical asian fruit tree, mangifera indica.
1980, bruce chatwin, the viceroy of ouidah, page 146:on the hot days, he would lie in the shade of a mango and let little eugenia clamber over his belly and tug at his beard."
mapait,JJ,adjective,bitter
mapiguson,JJ,adjective,harsh
mapinatopatoon,JJ,adjective,"creative, imaginative, inventive"
mapinatuboon,JJ,adjective,"(of soil) good, fertile, productive"
marabo,JJ,adjective,"tasty, savoury
antonym: maganás"
maramig,JJ,adjective,cold
mataas,JJ,adjective,"high, tall"
matahum,JJ,adjective,"beautiful, seemly, pretty"
matalaw,JJ,adjective,"cowardly
synonyms: matalsot, kobarde"
matam-is,JJ,adjective,sweet
matataas,JJ,adjective,"high, exalted
synonym: matáas"
mauswagon,JJ,adjective,"progressive; advanced
usa ka mauswagong lungsoda progressive town"
negrense,JJ,adjective,a native or inhabitant of the philippine island of negros
passinhon,JJ,adjective,resident or inhabitant of passi
patay,JJ,adjective,to kill
pigaw,JJ,adjective,"frail, weak"
pobre,JJ,adjective,"poor; impoverished
synonym: mahidap
antonym: mayaman
pobre sana kami.we're just poor"
pototanon,JJ,adjective,resident or inhabitant of pototan
pulut,JJ,adjective,nominative plural of pulu
rami,JJ,adjective,plural of ramus
ramig,JJ,adjective,cold
sagahay,JJ,adjective,overflowing
sagaynon,JJ,adjective,resident or inhabitant of sagay
sagupra,JJ,adjective,rough
salamwanan,JJ,adjective,choosy
samad,JJ,adjective,cut
saramaylo,JJ,adjective,confused
sidlangan,JJ,adjective,"east
synonym: mulud-an"
sip-onon,JJ,adjective,sniveler; sniffler
sulud,JJ,adjective,nominative plural of sulg
tahum,JJ,adjective,"beauty, prettiness, attractiveness"
tanan,JJ,adjective,"everyone, everything, everybody"
tanang,JJ,adjective,"overripe, rotten"
tanhaga,JJ,adjective,"extraordinary, marvelous, wonderful"
tarasak,JJ,adjective,thoughtless; careless
tayoyon,JJ,adjective,"continuous, steady, without pause"
tayuyon,JJ,adjective,alternative spelling of tayóyon
tibunog,JJ,adjective,"fat, plump, stout"
tiilan,JJ,adjective,the lower part of
tilinguhaon,JJ,adjective,worthwhile
timbolog,JJ,adjective,"round, spherical"
tipolon,JJ,adjective,accusative singular of tipolo
too,JJ,adjective,(international standards) iso 639-3 language code for xicotepec de juárez totonac.
torpe,JJ,adjective,"dull, silly, slow
synonyms: charro, parvo, paspán"
tuig-tuig,JJ,adjective,"yearly, annual: happening once a year"
tuô,JJ,adjective,right (as in a direction)
utud,JJ,adjective,something cut off or broken off
waay,JJ,adjective,without
wala,JJ,adjective,alternative spelling of wallah.
