word,pos_symbol,pos_word,meaning,sentiment score,sentiment,RESPONDENT BASIS,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20
-a,VB,verbal affix,affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
-ado,JJ,adjective formative,formative affix designating conditions or state of being.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-ánay,NN,noun formative,variant of -ánan.,0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
-aryo,NN,noun formative,noun formative affix designating state of being.,0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0
-ay,VB,verbal affix,variant of -an.,0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-dor,NN,noun formative,noun formative affix.,0,Neutral,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
-ero,NN,noun formative,noun formative affix designating type of work done.,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-i,VB,verbal affix,benefactive-locative focus affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
-ista,NN,noun formative,noun formative affix denoting profession or type of job.,0,Neutral,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
-kig-,VB,verbal affix,social reciprocal actor focus affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
-la-…-an,NN,noun formative,noun formative affix designating repetitive or social action occurring in a place.,-0.25,Negative,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
-la-…-un,NN,noun formative,noun formative affix designating an action to be performed to the object or person referred to.,0,Neutral,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,1,0,0,0
-li-,VB,verbal affix,variant of -la-.,0,Neutral,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0
-lu-,VB,verbal affix,variant of -la-.,0,Neutral,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0
-pa-,VB,verbal affix,"designating causation of action, meaning to allow to happen, to make possible, to happen.",0.226,Positive,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
-pa-…-un,VB,verbal affix,designating causation of action by the acor in the construction.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
-pang-,VB,verbal affix,action affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-um-,VB,verbal affix,designating completed action.,0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
-un,VB,verbal affix,infinitive goal focus affix.,0,Neutral,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-uso,JJ,adjective formative,"formative affix designating condition, quality or state of being.",0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1-an,VB,verbal affix,"infinitive, benefactive-locative focus affix.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-anan,NN,noun formative,noun formative affix denoting reciprocal action.,0,Neutral,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,-1,1,0,0,1,-1,1
1-ánun,JJ,adjective formative,formative affix attached to nouns to designate abundance in possession.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1-i-,VB,verbal affix,general proposed action instrumental affix.,0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1-in-,NN,noun formative,noun formative affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1-in-…-an,NN,noun formative,noun formative affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0
1-ka,PRP,pronoun,you (short form of ikáw).,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,0
1-ka-,VB,verbal affix,variant of naká-.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0
1-ka-…-an,NN,noun formative,noun formative affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1
1-kay,CC,conjunction,"because, for.",0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-la-,VB,verbal affix,"or group action affix, used together with general aspect affixes.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-ma-,VB,verbal affix,proposed action affix of the  verb.,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1-ma-…-un,NN,noun formative,noun formative affix designating a state of being as described by the adjective root.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1-mag-,VB,verbal affix,infinitive actor focus affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
1-mang-,VB,verbal affix,active action affix usually designating plural or repeated action.,0.402,Positive,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-pa-,VB,verbal affix,to move in the direction of.,0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0
1-pag-,VB,verbal affix,actor focus affix.,0,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1-pagka-,VB,verbal affix,"immediately after, following, verbal affix designating action completed before another action.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0
1-pang-,VB,verbal affix,frequent or repeated action affix of goal focus imperative mode.,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,-1,0,1
2-an,VB,verbal affix,designating reciprocity of action.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-anan,VB,verbal affix,designating reciprocity of action.,0,Neutral,0,0,0,0,0,0,0,-1,-1,0,0,-1,1,0,-1,0,0,0,0,0,0
2-anun,NN,noun formative,noun formative affix designating state of being.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
