word,pos_symbol,pos_word,meaning,sentiment score,sentiment
tak’an,VB,verb,"to get disgusted with, to get bored, to become weary, to get tired of.",-0.859,Negative
hápu’,VB,verb,"to be tired, to be exhausted.",-0.66,Negative
páhug,VB,verb,"to frighten, to tease.",-0.572,Negative
ulípun,JJ,adjective,poor.,-0.477,Negative
ingkántu,NN,noun,"fairy, evil spirit.",-0.572,Negative
mangú’,JJ,adjective,"unlettered, ignorant.",-0.273,Negative
gútrab,VB,verb,to chop or cut off with a knife or a pair of scissors.,-0.273,Negative
hinganíban,NN,noun,weapon.,-0.296,Negative
kaaway,NN,noun,enemy ; foe,-0.751,Negative
samád,VB,verb,"to wound, to injure, to destroy.",-0.542,Negative
abút,JJ,adjective,"cranky, irritable, moody.",-0.681,Negative
hubog,JJ,adjective,drunk ; intoxicated synonym: balong,-0.34,Negative
síplat,NN,noun,"glance, stolen glimpse.",-0.494,Negative
ármas,NN,noun,"weapon, arms.",-0.296,Negative
dupak,NN,noun,"bad language, obscene words",-0.807,Negative
hugák,JJ,adjective,loose.,-0.318,Negative
panambítun,VB,verb,"to sigh, to mourn, to cry.",-0.7,Negative
túntu,JJ,adjective,"stupid, ignorant, unsophisticated.",-0.772,Negative
dunoton,VB,verb,crush,-0.153,Negative
ulípun,NN,noun,"poor man, servant.",-0.477,Negative
dúyu,JJ,adjective,"dejected, sad.",-0.743,Negative
túlu’,NN,noun,"one drop, one drip.",-0.273,Negative
buling,VB,verb,"stain , soil , dirty",-0.44,Negative
súnggu’,VB,verb,"to bump into, to crash against, to knock hard against something.",-0.477,Negative
bilánggu,NN,noun,prisoner.,-0.542,Negative
bangis,NN,noun,violence synonym: kahas,-0.625,Negative
ímul,JJ,adjective,"poor, impoverized.",-0.477,Negative
basol,VB,verb,to chide ; to scold,-0.402,Negative
kaséra,VB,verb,to pay room and board.,-0.103,Negative
timá’an,NN,noun,"sign, signal, warning.",-0.34,Negative
dúla’,VB,verb,"to lose, to miss, to mislay.",-0.511,Negative
kúrug,VB,verb,"to shiver, to tremble, to shake.",-0.421,Negative
bokbok,NN,noun,a type of boring insect,-0.318,Negative
búgsay,VB,verb,"to row, to strike the water with an oar.",-0.128,Negative
súm’ud,VB,verb,"to loathe, to have more than enough so as to feel boredom, to cloy.",-0.67,Negative
talikúd,VB,verb,"to turn one’s back upon, to abandon, to desert.",-0.44,Negative
túntu,UH,interjection,"you idiot, stupid.",-0.772,Negative
balíbad,VB,verb,"to find an excuse, to give a reason, to refuse.",-0.226,Negative
lamún,NN,noun,blind.,-0.402,Negative
páslaw,VB,verb,"to be caught red-handed, to fail, to lose.",-0.735,Negative
atubang,VB,verb,to confront ; to face,-0.178,Negative
espíritu,NN,noun,"soul, spirit, ghost.",-0.153,Negative
káhas,VB,verb,"to dare, to make a challenge, to be violent.",-0.557,Negative
tagudíli’,VB,verb,"to condemn, to damn.",-0.649,Negative
samad,VB,verb,to wound ; to hurt ; to injure,-0.527,Negative
káwat,JJ,adjective,"thief, robber.",-0.791,Negative
abusar,VB,verb,"to misuse or abuse , to take advantage of",-0.494,Negative
géra,VB,verb,to declare or fight a war.,-0.758,Negative
pígaw,VB,verb,"to become weak, to become frail.",-0.44,Negative
uswag,VB,verb,to postpone,-0.226,Negative
bánhaw,VB,verb,"to resurrect, to rise from the dead.",-0.649,Negative
hísa,NN,noun,"envy, jealousy.",-0.527,Negative
apinas,JJ,adjective,"difficult , scarce , trying",-0.361,Negative
dabádabá,VB,verb,"to flare up, to blaze, to be on fire.",-0.34,Negative
bahúg,VB,verb,"of animals, to feed swine, or any animal; of people, to eat mixed foods simultaneously.",0.0,Neutral
burus,NN,noun,blister,0.0,Neutral
salaming,NN,noun,mirror synonym: espeho,0.0,Neutral
pakút,NN,noun,"guess, venture.",0.0,Neutral
serbésa,NN,noun,beer.,0.0,Neutral
tu’ún,NN,noun,"studies, learning, school work.",0.0,Neutral
dumagsa,VB,verb,flourish,0.0,Neutral
harána,VB,verb,"to serenade, to sing to a lady with intentions of courtship.",0.0,Neutral
dalunggan,NN,noun,( anatomy ) ear,0.0,Neutral
gánsa,NN,noun,goose.,0.0,Neutral
mayordómo,NN,noun,"butler, official of a ship.",0.0,Neutral
labúgay,VB,verb,"to stir, to mix especially liquids.",0.0,Neutral
tuig-tuig,JJ,adjective,"yearly , annual : happening once a year",0.0,Neutral
buluhatan,NN,noun,workshop,0.0,Neutral
gál’um,JJ,adjective,cloudy.,0.0,Neutral
táni’,RB,adverb,"if possible, perhaps, possibly.",0.0,Neutral
delárgo,NN,noun,long pants for men.,0.0,Neutral
húlas,NN,noun,"perspiration, moisture.",0.0,Neutral
dáldal,VB,verb,"to backbite, to spread false malicious talk, to talk against.",0.0,Neutral
agalon,NN,noun,"boss , employer , lord , master",0.0,Neutral
sundang,NN,noun,a type of bolo knife,0.0,Neutral
kláse,NN,noun,class.,0.0,Neutral
biskwit,NN,noun,biscuit,0.0,Neutral
laham,VB,verb,"to touch , feel",0.0,Neutral
sál’ut,VB,verb,"to insert, to get between.",0.0,Neutral
1-ka,PRP,pronoun,you (short form of ikáw).,0.0,Neutral
kutsilyo,NN,noun,knife synonym: utak,0.0,Neutral
daut,VB,verb,to spoil,0.0,Neutral
ya’úb,VB,verb,"to kneel down and bend one’s face until it touches the ground, to capitulate.",0.0,Neutral
pilipíno,NN,noun,"filipino, citizen of the philippines.",0.0,Neutral
platíto,NN,noun,saucer.,0.0,Neutral
bayo-bayo,NN,noun,pulse,0.0,Neutral
-ista,NN,noun formative,noun formative affix denoting profession or type of job.,0.0,Neutral
túhuy,VB,verb,to direct toward.,0.0,Neutral
úpak,VB,verb,"to take the skin off, to peel.",0.0,Neutral
bodéga,NN,noun,"warehouse, storage, cellar.",0.0,Neutral
harúthut,VB,verb,"to sew in big stitches, to patch.",0.0,Neutral
pakéte,NN,noun,"pack, package.",0.0,Neutral
manang,NN,noun,term of address for an elder sister or the eldest sister : big sis,0.0,Neutral
