"postTitle","postDescription","text","likesCount","facebookUrl"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Ngaa si Duterte man Kay ginpa preso
Nato sya ni Marcos anu gina singgit
Mo da nami baba mo ehh ... ang mga kurap si Martin at si zaldy Co nga paryente mo bala nga hangag kaw indi mo pag e singgit Ila ngalan ma'ngo !!!!","86","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Wala man bala da dapat politika ngaa ara da ya ang kabataan party list haw kag may mga ttarp pa cla, daw hinaslo haw, ND na ya personal interest? Tni Wala streamer sang bsan ano nga grupo politika kn amo na ila gnahambal, hinaslo, personal interest na Ina Inyo ya","51","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Duterte pa rin 👊","129","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Mag daog c sara sa 2028 dulaun nya nlang ni mga partylist. Kay wla man ni my na bulig..nagsabad pa gni ang politica sa pilipinas...","59","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Na preso na si duterte...focus kamo sa mga kawatan sang taxes nyo","70","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Duterte lang kami ya,.. solid Duterte Mula noon hnggng sa walang hanggan💚💚💚💚🦅🦅🦅🦅🦅👊👊👊👊","64","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"VP: Kaano ano ba ni zaldy co c renee co?mag pinsan ba sila??😆😆😆","43","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Kabataan pag-asa na bayan pro kabataan din sisira ng bayan","22","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Duterte pa rin!😜","29","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Mindset ng mga talunan!!!mali ni pedro pati c juan magsasakripisyo!!!gago!!!","13","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"How about Martin? 🤣","10","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"hindi si marcos sisihin, kundi yong pulitiko na kuntra partido sila gumagawa nang eksina para mapa sama at magulo adminitrasyon.","6","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Nangabuang na","12","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Tiba tiba namn ni ang maka baton kickback.. shout out sa maka baton! Pa burger namn dyan.","0","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Matapos lang na ang rally wala gid it matabo nga maayo…same pa rin yan","6","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
"""MARCOS SINGILIN, DUTERTE PANAGUTIN"" -- KABATAAN PARTY-LIST REP. RENEE CO SA MAANOMALIYA NGA FLOOD CONTROL PROJECTS 

BY: LHEY ANN ALAYON | September 21, 2025
Video courtesy: Newswatch

Ginpangunahan ni Kabataan Party-list Rep. Renee Co ang pagsinggitan sang ""Marcos Singilin, Duterte Panagutin"" sa rally sa Luneta subong nga aga. 

#AksyonRadyoIloilo",,"Ang cpp npa panagutin sa mga extortion, pagpatay, at terrorism. Pananagutin ang mga taong may kaugnayan o supporters ng cpp npa. Dahil sa extortion isa rin itong dahilan upang maging corrupt ang mga politicians. Saan nila kukunin ang inilagay sa extortion?","0","https://www.facebook.com/100064669725059/posts/1272081354957510/?mibextid=rS40aB7S9Ucbxw6v"
