word,definition,language,link,source
a,"A suffix of verbs that have a passive in-on. This suffix occurs in the following tenses: 1.) The passive impersonal imperative. Buháta iní. Do this. (búhat, buháton). Higugmaá kag tahúra (-úda) ang ímo ginikánan. Love and respect your parents, (higúgma, higugmaón; táhud, tahúron, tahúdon).  2.) The passive negative past. Walâ níya pagbuháta iní. He did not do this. Walâ ni la pagtumána ang íla katungdánan. They have not fulfilled their duties, (túman, tumánon).  3.) The passive negative present. Sa karón walâ na níya pagaúmha iníng bánglid. He now no longer tills this slope, (umá, úmhon). Tungúd sang kadamuón sang íla mga páhò, walâ na níla pagaisípa, kóndì ginosokób na lang sa pasungán. Owing to the great quantity of their mangoes they no longer count them, but measure them by the bushel. (ísip, isípon). Ngáa man nga walâ mo pagapatindogá ang halígi? Why are you not setting up the post? (pa, tíndog, tindogón).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/a/,PinoyDictionary-Hiligaynon
a,"Ah, Oh, Well, Why. A, amó gid inâ. Ah, that is it, certainly. A, ikáw galî ang nagabút. Oh, it is you, that have come. A, bayái (pabayái) lang ang mga bátà dirâ. Well, leave the children there alone. A, pagkaláut sang ákon kapaláran! Oh, how unfortunate I am! A, indì ka magsapák sinâ. Why, don't take any notice of it. (see ah).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/a/,PinoyDictionary-Hiligaynon
a,"The letter A in Visayan is pronounced as in Spanish, except when it has a cut short, abrupt sound, which can be learned only by hearing, e. g. bátà-child.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/a/,PinoyDictionary-Hiligaynon
á-a,"An exclamation of sorrow, anguish or the like. A-a, kon amó inâ ang pangabúhî, maáyo na lang nga mamatáy akó! Ah, if life is such, it would be better for me to die! A-a, ano na man iní! Maanó na lang akó! Alas, what does this mean! What shall I do now!",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/a-a/,PinoyDictionary-Hiligaynon
a-â,"Pooh! Whew! Foh! Faugh! Now then! Fie! An expression employed to prevent others from touching things they should not. A-â inâ! Don't touch that. Keep off. Pooh, it's filthy! Now then, keep away from that.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/a-a/,PinoyDictionary-Hiligaynon
áb-ab,"To eat or bite off a piece: to undermine and carry off, wash away (of water). Ab-abá lang ang tinápay kag ang mabilin nga inab-abán ihátag mo sa ímo mánghud. Just bite off a piece of bread, and give the remainder to your younger brother (sister). May katalágman nga ab-abón sang subâ ang pángpang. There is danger that the river will undermine and carry off its banks. Indì mo pag-ipaáb-ab[*] ang kárne sa idô. Do not let the dog snap at the meat. (see áp-ap, kábkab, kádkad, ríbrib).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/ab-ab/,PinoyDictionary-Hiligaynon
abâ,"(B) Oh! Ah! Really? Truly? Is it so, indeed? Abâ, matúod iní? Ah, is it really true? Can it be so? Nabáton ko ang isá ka makalilípay nga balítà-Abâ? I have received some joyful news.-Have you, really? (see abá, abáw).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aba/,PinoyDictionary-Hiligaynon
abá,"(B) The back, shoulder-blades, scapula; the breast of a bird, especially of a fowl; to carry on the back, put on the back. Ibutáng mo iníng bayóong sa abá sang karabáw. Put this bag on the buffalo's back. Toktoká ang abá sang manók. Chop up the breast of the chicken. Ginpaabá akó níya sa pagtabók sa subâ. He carried me on his back across the river. Paábhan mo siá. Get hold of his back. Grasp him behind by the shoulders. (see likód, talúdtud, dúghan, pétso, tíbong, patíbong).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aba/,PinoyDictionary-Hiligaynon
abá,"Ah! Oh! Alas! Abá, ang íya sinâ nga katahúm! Oh, the beauty of it! Abá, kanógon gid inâ! Alas, what a pity! (see abáw).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aba/,PinoyDictionary-Hiligaynon
"abá-a, abáa","Ah! Oh! Alas! Indeed! (see abá, abâ, abáw).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aba-a-abaa/,PinoyDictionary-Hiligaynon
abád,"(Sp. abad) Abbot, superior of an abbey.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abad/,PinoyDictionary-Hiligaynon
abadésa,"(Sp. abadesa) Abbess, superioress of an abbey.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abadesa/,PinoyDictionary-Hiligaynon
abadíya,"(Sp. abadia) Abbey, (see konbénto, baláy, nga, ginapúy-an, sang, mga, práyle, nga, benediktíno, ukón, sang, mga, mádre, nga, benediktínas).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abadiya/,PinoyDictionary-Hiligaynon
abága,"The shoulder; to shoulder, carry on the shoulder. Dálha lang iní sa abága mo or abagáha lang ini. Carry this on your shoulder. Malápad ang íya abága or malápad siá sing abága. He has broad shoulders, (see pangabága).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abaga/,PinoyDictionary-Hiligaynon
abagánhan,"One with strong or broad shoulders, broad-shouldered, (see abága).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abaganhan/,PinoyDictionary-Hiligaynon
ábak,"To follow in quick succession. Nagaábak gid lang ang ulán. The rain pours down at short intervals, one shower or squall following another in quick succession, (see abákabák which is more in use).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abak/,PinoyDictionary-Hiligaynon
abák-abák,"Dim. and Freq. of ábak, To follow in succession one thing close upon other, chase each other, come one behind the other. Abáw, nagaalabák-abák gid lámang ang mga nagasalákà. Why, visitors are coming up one behind the other (in great numbers). Nagaabák-abák gid karón ang íla mga kalisúd. At present their difficulties are following one upon another or their troubles overtake one another, (see abútabút).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abak-abak/,PinoyDictionary-Hiligaynon
abaká,"(Sp. abaca) The hemp-plant; hemp-fibre; hempen, made of hemp. Panápton nga abaká, kalát nga abaká, etc. Hemp-cloth, hemp-rope, etc. (see lánot).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abaka/,PinoyDictionary-Hiligaynon
abakahán,"One who has plenty of-, is rich in-, hemp; containing hemp-plants, suitable for a hemp-plantation. Bakólod nga abakahán. A hill covered with hemp-plants or suitable for growing hemp. Bankílan siá, kay abakahán kaáyo. He is wealthy or influential, because he owns large hemp-plantations.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abakahan/,PinoyDictionary-Hiligaynon
abákan,A small fish of a reddish colour.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abakan/,PinoyDictionary-Hiligaynon
ában,"To finish, take away or off (a loom or the like). Abána ang ákon háblon sa madalî nga saráng mahímò. Get my cloth off the loom as soon as possible. Ginában sang subâ ang ámon dútà. The river has washed away our land. Abánon mo na ang íya nga balayoón, kay nagtú-gon siá nga, kon maában na, ipadalá sa íya sa waláy lídan. Finish the cloth for making dresses, for she ordered it to be sent to her at once, when it was ready. Abáni akó sing duhá ka patádyong. Get me off the loom two native skirts, i. e. cloth sufficient for two such skirts called patádyong. Dílì makaában ang subâ siníng umá, kay may pángpang nga dínglì. The river cannot carry (wash) away this farm-land, for its bank is of hard sandstone. Naában na ang tátlo ka búlan sa napúlò nga inogbulúthù níya sa koléhyo. Three months have gone by already of the ten he has to study at college. Ginában níya ang dakû níya nga mánggad sa mga kalingáwlingáwan kag waláy pulús nga mga kahinguyángan. He spent his great wealth on diversions and useless extravagance. (see hingápus, hingapús, kúhà, búhin, áb-ab, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aban/,PinoyDictionary-Hiligaynon
abáng,"(B) Greediness, avarice, cupidity, covetousness; to be greedy or desirous of getting a larger share than others. Indì ka magpangabáng. Don't be greedy. (see pangunyádì, hákug, kágud, panginyáwat).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abang/,PinoyDictionary-Hiligaynon
ábang,"To take within range or sweep (of fire, etc.). Sang pagkasúnug sang baláy ni Fuláno naábang man ang ámon baláy. When N.N.'s house burned down, our house also was involved. Kon may súnug nga malapít sa plása, may katalágman nga abángon man sang kaláyo ang simbáhan. If a fire breaks out near the public square, there is danger that the church may also come within its destructive range. (see ánas, úmid).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abang/,PinoyDictionary-Hiligaynon
abáng-ábang,"(B) To help, assist, aid, succour, lend a helping hand. Abáng-abángi siá. Help him. Render him assistance. Lend him your aid. (see tábang, tabángtábang).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abang-abang/,PinoyDictionary-Hiligaynon
abáng-ábang,A tree well known for its beautiful leaves and large pods. These latter contain a great number of winged seeds that look like butterflies (alibángbang).,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abang-abang/,PinoyDictionary-Hiligaynon
abaníko,"(Sp. abanico) Fan; to fan. Abanikóhi akó, mamá, kay magín-ot. Fan me mother, for it is sultry. Kuyabí akó sang ímo abaníko. Fan me with your fan. Paabanikóhi ang mga bisíta, kay mabóhot kaáyo. Provide the visitors with fans, for it is very close. (see kuyáb, kuluyáb, kuruyáb, páypay).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abaniko/,PinoyDictionary-Hiligaynon
abáno,"(Sp. habano) A cigar, especially one made by machinery, and sold by tobacconists (in contradistinction to the piokós-a home-made cigar, rolled by hand for private use). Bákli akó sing duhá ka abáno nga taglimá ka sentimós. Buy me two cigars of five centavos each. Indì akó makaúyon sang abáno kay matáb-ang; ginapasolabí ko gid ang piokós, kay labíng maísug. I do not like cigars sold by tobacconists, for they are too mild; I much prefer home-made cigars, because they are very strong, (see tabákò, tabakô, piokós).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abano/,PinoyDictionary-Hiligaynon
abansáda,"(Sp. avanzada) Exposed, open (to the wind), (see ábong, bansáda).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abansada/,PinoyDictionary-Hiligaynon
abáo,"An expression of joy, surprise, astonishment, admiration, sorrow, grief and pain. Oh! Ah! Alas! Hurrah! Abáo, katahúm siní nga daw lángit! Ah, how beautiful! How like heaven! Abáo nga pagkamakaloló-oy sang ákon karón nga kahimtángan! Oh the wretchedness of my present condition! May dakû nga súnug kahápon sa Ilóngílong kag madámù nga mga baláy nga dalágkù ang nagabó.-Abáo! There was a great fire yesterday in Iloilo and many large buildings were burned to ashes.-Oh, really! Ah, this is a terrible news! (see abá).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abao/,PinoyDictionary-Hiligaynon
ábas,(Sp. haba) A kind of beans.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abas/,PinoyDictionary-Hiligaynon
ábat,"To follow, go after (frequently with the meaning implied of summoning or calling back). Abáta siá. Follow him (and tell him to come back). Summon him. Ipaábat ko siá sa kay Hosé. I shall send Joseph after him. Iábat mo ang bátà sa íya ilóy. Take the child after its mother. Paabáti si Andres sa kay Pédro or ipaábat si Andres sa kay Pédro. Order Peter to go after or call Andrew. Nagpaábat siá sa ákon sing kabáyo. He sent a horse after me. (see ápas, sunúd, tawág).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abat/,PinoyDictionary-Hiligaynon
abát-ábat,"Dim. and Freq. of ábat. Also: to follow up, follow from place to place. Ginabátábat sang mga polís ang makáwat túbtub nga íla madakúp (nadakúp). The police followed the thief from place to place till they caught him. Abát-abáton nínyo ang duhá ka pamatán-on nga nagtabanáy túbtub nga ínyo makítà kag ibálik nínyo dirí silá nga duhá. Follow the two young people that have eloped till you find them and bring the two of them back here. (see sunúdsúnud).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abat-abat/,PinoyDictionary-Hiligaynon
abát-abát,"To follow closely without going beyond, be barely sufficient; just enough without anything to spare, living from hand to mouth. Ginaabátabát gid lang ang ámon pagkáon. We just manage to live from hand to mouth. The food we can procure is hardly enough to keep us alive. Ang ámon kinitáan abátabát gid lang sa ámon pangabúhì. Our earnings are barely enough for our living.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abat-abat/,PinoyDictionary-Hiligaynon
abáw,"See abáo, abá.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abaw/,PinoyDictionary-Hiligaynon
abáy,"(B) To join, enter, associate with, take to, mingle. Nagabáy na siá sa pagkapánday, pagkamangangawáy, etc. He has now taken to carpentry, has cast in his lot with the soldiery, etc. Dî mo pagiabáy ang ngálan sang Diós sa mga sugilánon nga kalibutánon. Do not mingle the name of God in worldly conversation. Indì mo pagábyan ang mga dîmatárung. Do not join with, associate with, wicked men. Abyí siá. Join him. Become his companion or associate. Ipa-*abáy mo ang ímo nga anák sa mga kaupdánan nga maáyo sing pamatásan. See that your child associates with companions of good behaviour. (see ábian, ábyan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abay/,PinoyDictionary-Hiligaynon
abáy-abáy,"Dim. and Freq. of abáy. Also: to meddle, put one's nose in, interfere. Indì ka magabáyabáy sinâ nga mga butáng. Don't meddle in those things. Don't put your nose in such matters. (see pahilabót, pasilabút, pakít-arakáng).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abay-abay/,PinoyDictionary-Hiligaynon
abáyan,"Liable to fall under a spell by which a benefit is changed into its opposite evil. Indì mo pagsingganán ang bátà nga matámbok siá, kay básì abáyan. Don't tell the child that it is fat, because it might fall under an evil spell (and become lean or sick). N. B. This is a superstition. It is likely that after ""abáyan"" ""sang áswang"" is understood.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abayan/,PinoyDictionary-Hiligaynon
ábdan,See abúd-to hem.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abdan/,PinoyDictionary-Hiligaynon
abelyána,"(Sp. avellana) Hazel-nut, hazel; light brown, of the colour of a hazel-nut.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abelyana/,PinoyDictionary-Hiligaynon
ábhan,"Paábhi, paábha, etc. from abá-to put on the back, etc.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abhan/,PinoyDictionary-Hiligaynon
